Time,CUMPH,LAI,PARi1,PARi2,PARi3,PARi4,PLA,PLSC__1,PLSC__2,PLSC__3,PLSC__4,PLSC__5,PLSC__6,PLSC__7,PLSC__8,PLSC__9,PLSC_10,PLSC_11,PLSC_12,PLSC_13,PLSC_14,PLSC_15,PLSC_16,PLSC_17,PLSC_18,PLSC_19,PLSC_20,PLSC_21,PLSC_22,PLSC_23,PLSC_24,PLSC_25,SENLA,SUMDTT5,avIcrop,avSLA,DSsen,evenTransIntRatio,fdsen,GAI,GPLA,LAImax,LAL_1,LAL_2,LAL_3,LAL_4,LLsen,LN_,MLAL1,MLAL2,MLAL3,MLAL4,Nsen,PLAG,PLAGMS,PLALR,PLALR_a,PLALR_d,PLALR_l,PLALR_n,PLSCGR__1,PLSCGR__2,PLSCGR__3,PLSCGR__4,PLSCGR__5,PLSCGR__6,PLSCGR__7,PLSCGR__8,PLSCGR__9,PLSCGR_10,PLSCGR_11,PLSCGR_12,PLSCGR_13,PLSCGR_14,PLSCGR_15,PLSCGR_16,PLSCGR_17,PLSCGR_18,PLSCGR_19,PLSCGR_20,PLSCGR_21,PLSCGR_22,PLSCGR_23,PLSCGR_24,PLSCGR_25,potSLA,sumLAL,sumMLAL,sumplsc,V1,V2,ActTrans,EC,EC_lgend,exk_GlobRad,GlobRad,GROLF,int_stor,interception,ISTAGE,kPAR,LFWT_m2,LFWT_pl,NcLAL__1,NcLAL__2,NcLAL__3,NcLAL__4,NetRain,NLeaf_m2,P,P5,PAR,Phint,plants,PotTrans,ra,Rad_Int,rain,rc0,sat_def,SENL,SIC,sln,TMPM,TMPMN,TMPMX,TransIntRatio,TransRatio,TSumInc
[d],[-],[m2/m2],[W/m2],[W/m2],[W/m2],[W/m2],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/d],[degreedays],,[squarecm/g],cm2/(plant*d),[-],[],[],[cm2/plant],[],[m2/m2],[m2/m2],[m2/m2],[m2/m2],cm2/(plant*d),[n],[g/m2],[g/m2],[g/m2],[g/m2],cm2/(plant*d),[cm2/day],,[cm2/(plant*d)],[cm2/(plant*d)],[cm2/(plant*d)],[cm2/(plant*d)],[cm2/(plant*d)],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],[cm2/plant],,[m2/m2],[g/m2],[cm2/pl],,,[mm.d-1],,[-],[-],[MJ/m²/d],[g/(pl*d)],[-],[-],,,[g/m2],[g/pl],[%],[%],[%],[%],[-],g/m2,[-],[-],[MJ/m²*d],[°Cd],,[mm.d-1],[-],[W/m²],[mm],[-],[mbar],,[mm.m2.m2],g/m2 leaf,[°C],[°C],[°C],[-],[-],
38533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0.5,12.28,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,11.67,0,91.74,320,0,0,142.1,0.3,50,5.9,0,0.15,0,17.4,14.13,20.31,1,1,0
38534,0,0,34.8145,34.8145,34.8145,34.8145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.614,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,40,0.5,12.28,0,0,0,0,0.7,0,0,0,0,0,0,0.3,0,1007.09,11.67,6.14,91.74,320,0,94.3864,142.1,0.3,50,5.9,0,0.15,0,17.4,14.13,20.31,1,1,0
38535,0,0,43.071,43.071,43.071,43.071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3735,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,40,0.5,15.19,0,0,0,0,0.7,0,0,0,0,0,0,0,0,1007.11,11.67,7.595,91.74,320,0,116.769,175.8,0,50,7.1,0,0.15,0,17.7056,12.2,21.91,1,1,0
38536,0,0,35.329,35.329,35.329,35.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9965,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,40,0.5,12.46,0,0,0,0,0.7,0,0,0,0,0,0,0.1,0,1007.15,11.67,6.23,91.74,320,0,97.0438,144.2,0.1,50,7.6,0,0.15,0,20.1773,15.08,24.07,1,1,0
38537,0,0,63.945,63.945,63.945,63.945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.124,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,40,0.5,22.55,0,0,0,0,0.7,0,0,0,0,0,0,0,0,1007.2,11.67,11.275,91.74,320,0,57.9123,261,0,50,11.9,0,0.15,0,23.5076,16.8,28.63,1,1,0
38538,0,0,23.7895,23.7895,23.7895,23.7895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5435,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,40,0.5,8.39,0,0,0,0,0.7,0,0,0,0,0,0,8,0,1007.03,11.67,4.195,91.74,320,0,77.4251,97.1,8,50,2.5,0,0.15,0,14.6,12.86,16.65,1,1,0
38539,0,0,40.572,40.572,40.572,40.572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.259,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,40,0.5,14.31,0,0,0,0,0.7,0,0,0,0,0,0,0.6,0,1007.04,11.67,7.155,91.74,320,0,87.2212,165.6,0.6,50,4.2,0,0.15,0,15.3,12.55,18.77,1,1,0
38540,0,0,35.0595,35.0595,35.0595,35.0595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.877,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,40,0.5,12.36,0,0,0,0,0.7,0,0,0,0,0,0,3.7,0,1007.05,11.67,6.18,91.74,320,0,89.4856,143.1,3.7,50,4.1,0,0.15,0,15.8,11.57,19.09,1,1,0
38541,0,0,37.73,37.73,37.73,37.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5425,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,40,0.5,13.31,0,0,0,0,0.7,0,0,0,0,0,0,0,0,1007.11,11.67,6.655,91.74,320,0,97.0438,154,0,50,5.3,0,0.15,0,18.4,14.46,21.66,1,1,0
38542,0,0,65.7825,65.7825,65.7825,65.7825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7025,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,40,0.5,23.2,0,0,0,0,0.7,0,0,0,0,0,0,0,0,1007.16,11.67,11.6,91.74,320,0,94.3864,268.5,0,50,8.6,0,0.15,0,20.5586,14.52,25.17,1,1,0
38543,0,0,63.651,63.651,63.651,63.651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.825,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,40,0.5,22.45,0,0,0,0,0.7,0,0,0,0,0,0,0,0,1007.2,11.67,11.225,91.74,320,0,105.997,259.8,0,50,12,0,0.15,0,21.5794,15.28,26.39,1,1,0
38544,0,0,67.9385,67.9385,67.9385,67.9385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.409,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,40,0.5,23.96,0,0,0,0,0.7,0,0,0,0,0,0,0,0,1007.18,11.67,11.98,91.74,320,0,91.8707,277.3,0,50,11.6,0,0.15,0,21.2392,15.28,25.79,1,1,0
38545,0,0,68.404,68.404,68.404,68.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8555,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,40,0.5,24.12,0,0,0,0,0.7,0,0,0,0,0,0,0,0,1007.2,11.67,12.06,91.74,320,0,105.997,279.2,0,50,12.8,0,0.15,0,22.3553,15.54,27.56,1,1,0
38546,0,0,61.25,61.25,61.25,61.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.3125,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,40,0.5,21.6,0,0,0,0,0.7,0,0,0,0,0,0,0,0,1007.14,11.67,10.8,91.74,320,0,83.0196,250,0,50,7.6,0,0.15,0,20.3777,14.6,24.79,1,1,0
38547,0,0,39.445,39.445,39.445,39.445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8805,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,40,0.5,13.91,0,0,0,0,0.7,0,0,0,0,0,0,0,0,1007.11,11.67,6.955,91.74,320,0,97.0438,161,0,50,6.8,0,0.15,0,19.1631,13.89,23.19,1,1,0
38548,0,0,44.149,44.149,44.149,44.149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.2395,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,40,0.5,15.57,0,0,0,0,0.7,0,0,0,0,0,0,0.2,0,1007.14,11.67,7.785,91.74,320,0,68.2295,180.2,0.2,50,8,0,0.15,0,21.6079,14.39,27.12,1,1,0
38549,0,0,34.3,34.3,34.3,34.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.129,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,40,0.5,12.1,0,0,0,0,0.7,0,0,0,0,0,0,0.4,0,1007.05,11.67,6.05,91.74,320,0,64.4048,140,0.4,50,5.3,0,0.15,0,15.7,13.04,18.52,1,1,0
38550,0,0,24.353,24.353,24.353,24.353,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9405,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,0,0,0,0,0,0,0,40,0.5,8.59,0,0,0,0,0.7,0,0,0,0,0,0,0,0,1007.06,11.67,4.295,91.74,320,0,62.0847,99.4,0,50,5.4,0,0.15,0,15.9,12.72,18.56,1,1,0
