Time,PSENLeaf2_0,PSENLeaf2_0.0003,PSENLeaf2_0.0006,PSENLeaf2_0.0009,PSENLeaf2_0.0012
38535,0,0,0,0,0
38536,0,0,0,0,0
38537,0,0,0,0,0
38538,0,0,0,0,0
38539,0,0,0,0,0
38540,0,0,0,0,0
38541,0,0,0,0,0
38542,0,0,0,0,0
38543,0,0,0,0,0
38544,0,0,0,0,0
38545,0,0,0,0,0
38546,0,0,0,0,0
38547,0,0,0,0,0
38548,0,0,0,0,0
38549,0,0,0,0,0
38550,0,0,0,0,0
38551,0,0,0,0,0
38552,0,0,0,0,0
38553,0,0,0,0,0
38554,0,0,0,0,0
38555,0,0,0,0,0
38556,0,0,0,0,0
38557,0,0,0,0,0
38558,0,0,0,0,0
38559,0,0,0,0,0
38560,0,0,0,0,0
38561,0,0,0,0,0
38562,0,0,0,0,0
38563,0,0,0,0,0
38564,0,0,0,0,0
38565,0,0,0,0,0
38566,0,0,0,0,0
38567,0,0,0,0,0
38568,0,0,0,0,0
38569,0,0,0,0,0
38570,0,0,0,0,0
38571,0,0,0,0,0
38572,0,0,0,0,0
38573,0,0,0,0,0
38574,0,0,0,0,0
38575,0,0,0,0,0
38576,0,0,0,0,0
38577,0,0,0,0,0
38578,0,0,0,0,0
38579,0,0,0,0,0
38580,0,0,0,0,0
38581,0,0,0,0,0
38582,0,0,0,0,0
38583,0,0,0,0,0
38584,0,0,0,0,0
38585,0,0,0,0,0
38586,0,0,0,0,0
38587,0,0,0,0,0
38588,0,0,0,0,0
38589,0,0,0,0,0
38590,0,0,0,0,0
38591,0,0,0,0,0
38592,0,0,0,0,0
38593,0,0,0,0,0
38594,0,0,0,0,0
38595,0,0,0,0,0
38596,0,0,0,0,0
38597,0,0,0,0,0
38598,0,0,0,0,0
38599,0,0,0,0,0
38600,0,0,0,0,0
38601,0,0,0,0,0
38602,0,0,0,0,0
38603,0,0,0,0,0
38604,0,0,0,0,0
38605,0,0,0,0,0
38606,0,0,0,0,0
38607,0,0,0,0,0
38608,0,0,0,0,0
38609,0,0,0,0,0
38610,0,0,0,0,0
38611,0,0,0,0,0
38612,0,0,0,0,0
38613,0,0,0,0,0
38614,0,0,0,0,0
38615,0,0,0,0,0
38616,0,0,0,0,0
38617,0,0,0,0,0
38618,0,0,0,0,0
38619,0,0,0,0,0
38620,0,0,0,0,0
38621,0.16,0.16,0.16,0.16,0.16
38622,0.180008203377045,0.180008203377045,0.180008203377045,0.180008203377045,0.180008203377045
38623,0.196649500671557,0.196649500671557,0.196649500671557,0.196649500671557,0.196649500671557
38624,0.211819751805802,0.211819751805802,0.211819751805802,0.211819751805802,0.211819751805802
38625,0.224895293516889,0.224895293516889,0.224895293516889,0.224895293516889,0.224895293516889
38626,0.241059660481302,0.241059660481302,0.241059660481302,0.241059660481302,0.241059660481302
38627,0.249572154393581,0.249572154393581,0.249572154393581,0.249572154393581,0.249572154393581
38628,0.26591448518889,0.26591448518889,0.26591448518889,0.26591448518889,0.26591448518889
38629,0.280809905635376,0.280809905635376,0.280809905635376,0.280809905635376,0.280809905635376
38630,0.296319797550519,0.296319797550519,0.296319797550519,0.296319797550519,0.296319797550519
