Time      Groundwate  NetRain   PotEvap
[d]       [cm]      [mm]      [mm]
         1       500         5         0
         2       500         5         0
         3       500         5         0
         4       500         5         0
         5       500         5         0
         6       500         5         0
         7       500         5         0
         8       500         5         0
         9       500         5         0
        10       500         5         0
        11       500         5         0
        12       500         5         0
        13       500         5         0
        14       500         5         0
        15       500         5         0
        16       500         5         0
        17       500         5         0
        18       500         5         0
        19       500         5         0
        20       500         5         0
        21       500         5         0
        22       500         5         0
        23       500         5         0
        24       500         5         0
        25       500         5         0
        26       500         5         0
        27       500         5         0
        28       500         5         0
        29       500         5         0
        30       500         5         0
        31       500         5         0
        32       500         5         0
        33       500         5         0
        34       500         5         0
        35       500         5         0
        36       500         5         0
        37       500         5         0
        38       500         5         0
        39       500         5         0
        40       500         5         0
        41       500         5         0
        42       500         5         0
        43       500         5         0
        44       500         5         0
        45       500         5         0
        46       500         5         0
        47       500         5         0
        48       500         5         0
        49       500         5         0
        50       500         5         0
        51       500         5         0
        52       500         5         0
        53       500         5         0
        54       500         5         0
        55       500         5         0
        56       500         5         0
        57       500         5         0
        58       500         5         0
        59       500         5         0
        60       500         5         0
        61       500         5         0
        62       500         5         0
        63       500         5         0
        64       500         5         0
        65       500         5         0
        66       500         5         0
        67       500         5         0
        68       500         5         0
        69       500         5         0
        70       500         5         0
        71       500         5         0
        72       500         5         0
        73       500         5         0
        74       500         5         0
        75       500         5         0
        76       500         5         0
        77       500         5         0
        78       500         5         0
        79       500         5         0
        80       500         5         0
        81       500         5         0
        82       500         5         0
        83       500         5         0
        84       500         5         0
        85       500         5         0
        86       500         5         0
        87       500         5         0
        88       500         5         0
        89       500         5         0
        90       500         5         0
        91       500         5         0
        92       500         5         0
        93       500         5         0
        94       500         5         0
        95       500         5         0
        96       500         5         0
        97       500         5         0
        98       500         5         0
        99       500         5         0
       100       500         5         0
       101       500         5         0
       102       500         5         0
       103       500         5         0
       104       500         5         0
       105       500         5         0
       106       500         5         0
       107       500         5         0
       108       500         5         0
       109       500         5         0
       110       500         5         0
       111       500         5         0
       112       500         5         0
       113       500         5         0
       114       500         5         0
       115       500         5         0
       116       500         5         0
       117       500         5         0
       118       500         5         0
       119       500         5         0
       120       500         5         0
       121       500         5         0
       122       500         5         0
       123       500         5         0
       124       500         5         0
       125       500         5         0
       126       500         5         0
       127       500         5         0
       128       500         5         0
       129       500         5         0
       130       500         5         0
       131       500         5         0
       132       500         5         0
       133       500         5         0
       134       500         5         0
       135       500         5         0
       136       500         5         0
       137       500         5         0
       138       500         5         0
       139       500         5         0
       140       500         5         0
       141       500         5         0
       142       500         5         0
       143       500         5         0
       144       500         5         0
       145       500         5         0
       146       500         5         0
       147       500         5         0
       148       500         5         0
       149       500         5         0
       150       500         5         0
       151       500         5         0
       152       500         5         0
       153       500         5         0
       154       500         5         0
       155       500         5         0
       156       500         5         0
       157       500         5         0
       158       500         5         0
       159       500         5         0
       160       500         5         0
       161       500         5         0
       162       500         5         0
       163       500         5         0
       164       500         5         0
       165       500         5         0
       166       500         5         0
       167       500         5         0
       168       500         5         0
       169       500         5         0
       170       500         5         0
       171       500         5         0
       172       500         5         0
       173       500         5         0
       174       500         5         0
       175       500         5         0
       176       500         5         0
       177       500         5         0
       178       500         5         0
       179       500         5         0
       180       500         5         0
       181       500         5         0
       182       500         5         0
       183       500         5         0
       184       500         5         0
       185       500         5         0
       186       500         5         0
       187       500         5         0
       188       500         5         0
       189       500         5         0
       190       500         5         0
       191       500         5         0
       192       500         5         0
       193       500         5         0
       194       500         5         0
       195       500         5         0
       196       500         5         0
       197       500         5         0
       198       500         5         0
       199       500         5         0
       200       500         5         0
