Time,CumDrainage,CumEvap,CumGlobalWaterBalance,CumNetRain,CumRunoff,CumTrans,CumWaterBalance,PondedWater,WMenge_1,WMenge_2,WMenge_3,WMenge_4,WMenge_5,WMenge_6,WMenge_7,WMenge_8,WMenge_9,WMenge10,WMenge11,WMenge12,WMenge13,WMenge14,WMenge15,WMenge16,WMenge17,WMenge18,WMenge19,WMenge20,WMenge21,act_evap,dt_int,Exfiltration,global_iter,n_int_timesteps,ProzNFK0_100,ProzNFK0_30,ProzNFK0_Weff,Psi_1,Psi_2,Psi_3,Psi_4,Psi_5,Psi_6,Psi_7,Psi_8,Psi_9,psi_dummy,Psi10,Psi11,Psi12,Psi13,Psi14,Psi15,Psi16,Psi17,Psi18,Psi19,Psi20,Psi21,red_evap,Sink_1,Sink_2,Sink_3,Sink_4,Sink_5,Sink_6,Sink_7,Sink_8,Sink_9,Sink10,Sink11,Sink12,Sink13,Sink14,Sink15,Sink16,Sink17,Sink18,Sink19,Sink20,Sink21,sumof_internaltimesteps,SumPavSoilWater,SumPAvSoilWaterRZ,SumSoilWater,WFlow_1,WFlow_2,WFlow_3,WFlow_4,WFlow_5,WFlow_6,WFlow_7,WFlow_8,WFlow_9,WFlow10,WFlow11,WFlow12,WFlow13,WFlow14,WFlow15,WFlow16,WFlow17,WFlow18,WFlow19,WFlow20,WFlow21,WG_1,WG_2,WG_3,WG_4,WG_5,WG_6,WG_7,WG_8,WG_9,WG0_10,WG0_100,WG0_120,WG0_20,WG0_30,WG0_40,WG0_60,WG0_90,WG10,WG10_30,WG11,WG12,WG13,WG14,WG15,WG16,WG17,WG18,WG19,WG20,WG20_30,WG20_40,WG21,WG30_100,WG30_120,WG30_40,WG30_50,WG30_60,WG40_60,WG60_100,WG60_80,WG60_90,WG80_100,WG90_110,WG90_120,Groundwaterdepth,NetRain,PotEvap
[d],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[mm/d],[d],[mm],[],[],[%],[%],[%],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[],[mm],[mm],[mm],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3.cm-3],[cm3/cm3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3/cm3],[cm3/cm3],[cm3.cm-3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],,[mm],[mm]
0,0,0,0,0,0,0,0,0,1.08889,1.08937,1.08985,1.09033,1.09082,1.0913,1.09179,1.09228,1.09276,1.09325,1.09374,1.09424,1.09473,1.09522,1.09572,1.09622,1.09671,1.09721,1.09772,1.09822,1.09872,0,0.001,0,0,0,13.0185,12.929,13.0185,5000,4990,4980,4970,4960,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810,4800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.7303,0.246542,196.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108889,0.108937,0.108985,0.109033,0.109082,0.10913,0.109179,0.109228,0.109276,0.108889,0.109106,0.109155,0.108913,0.108937,0.108961,0.109009,0.109082,0.109325,0.108961,0.109374,0.109424,0.109473,0.109522,0.109572,0.109622,0.109671,0.109721,0.109772,0.109822,0.108985,0.109009,0.109872,0.109179,0.109228,0.109033,0.109058,0.109082,0.109106,0.109252,0.109203,0.109228,0.109301,0.10935,0.109374,0,5,0
1,3.38685E-11,0,-1.80546E-05,5,0,0,1.80546E-05,0,1.58674,1.09152,1.08985,1.09033,1.09082,1.0913,1.09179,1.09228,1.09276,1.09325,1.09374,1.09424,1.09473,1.09522,1.09572,1.09622,1.09671,1.09721,1.09772,1.09822,1.09872,0,0.138387,0,51,23,15.6587,21.7298,15.6587,899.513,4945.53,4979.95,4970,4960,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.03,4810.03,0.526495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49.7303,29.6542,201.744,0.5,0.00215132,2.23994E-06,2.03758E-09,1.67778E-12,1.27665E-15,1.42603E-19,4.17438E-19,5.3123E-19,6.49665E-19,-9.50699E-19,4.66656E-19,3.9232E-19,-1.30828E-18,3.55591E-19,-6.27289E-19,2.81271E-18,3.52904E-15,3.38685E-12,2.67307E-09,1.55478E-06,0.158674,0.109152,0.108985,0.109033,0.109082,0.10913,0.109179,0.109228,0.109276,0.158674,0.114106,0.113322,0.133913,0.125604,0.121461,0.117343,0.114638,0.109325,0.109069,0.109374,0.109424,0.109473,0.109522,0.109572,0.109622,0.109671,0.109721,0.109772,0.109822,0.108985,0.109009,0.109822,0.109179,0.109228,0.109033,0.109058,0.109082,0.109106,0.109252,0.109203,0.109228,0.109301,0.10935,0.109374,0,5,0
2,2.34733E-10,0,-1.93633E-05,10,0,0,1.93633E-05,0,2.07068,1.10755,1.08988,1.09033,1.09082,1.0913,1.09179,1.09228,1.09276,1.09325,1.09374,1.09424,1.09473,1.09522,1.09572,1.09622,1.09671,1.09721,1.09772,1.09821,1.09872,0,0.0153208,0,75,8,18.2989,30.5305,18.2989,261.298,4628.54,4979.37,4970,4960,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.06,4810.06,0.80712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54.7303,34.6542,206.744,0.5,0.0160625,2.82041E-05,4.10792E-08,5.3507E-11,6.34388E-14,6.75797E-17,2.65413E-19,7.97184E-19,4.61054E-19,-8.67233E-19,6.78548E-19,1.31835E-19,-1.22834E-18,3.71968E-20,-2.80148E-19,6.34071E-17,3.93814E-14,2.00865E-11,7.49128E-09,1.55481E-06,0.207068,0.110755,0.108988,0.109033,0.109082,0.10913,0.109179,0.109228,0.109276,0.207068,0.119106,0.117489,0.158912,0.14227,0.133961,0.125676,0.120193,0.109325,0.109872,0.109374,0.109424,0.109473,0.109522,0.109572,0.109622,0.109671,0.109721,0.109772,0.109821,0.108988,0.109011,0.109821,0.109179,0.109228,0.109033,0.109058,0.109082,0.109106,0.109252,0.109203,0.109228,0.109301,0.10935,0.109374,0,5,0
3,7.47012E-10,0,-2.07342E-05,15,0,0,2.07342E-05,0,2.50746,1.17061,1.09005,1.09033,1.09082,1.0913,1.09179,1.09228,1.09276,1.09325,1.09374,1.09424,1.09473,1.09522,1.09572,1.09622,1.09671,1.09721,1.09772,1.09821,1.09872,0,0.0153208,0,98,8,20.9392,39.3313,20.9392,101.787,3599.01,4975.95,4969.99,4960,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.09,4810.09,0.993989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59.7303,39.6542,211.744,0.5,0.0632196,0.000165363,3.05641E-07,5.16489E-10,8.0116E-13,1.14638E-15,2.33096E-18,6.52457E-19,4.21477E-19,-7.47884E-19,5.71055E-19,1.7659E-19,-1.10881E-18,1.53532E-19,-3.39679E-19,3.5467E-16,1.51289E-13,5.12279E-11,1.22272E-08,1.55479E-06,0.250746,0.117061,0.109005,0.109033,0.109082,0.10913,0.109179,0.109228,0.109276,0.250746,0.124106,0.121655,0.183903,0.158937,0.146461,0.134009,0.125749,0.109325,0.113033,0.109374,0.109424,0.109473,0.109522,0.109572,0.109622,0.109671,0.109721,0.109772,0.109821,0.109005,0.109019,0.109821,0.109179,0.109228,0.109033,0.109058,0.109082,0.109106,0.109252,0.109203,0.109228,0.109301,0.10935,0.109374,0,5,0
4,1.71355E-09,0,-2.15972E-05,20,0,0,2.15972E-05,0,2.82862,1.34861,1.09088,1.09034,1.09082,1.0913,1.09179,1.09228,1.09276,1.09325,1.09374,1.09424,1.09473,1.09522,1.09572,1.09622,1.09671,1.09721,1.09772,1.09821,1.09872,0,0.0153208,0,121,8,23.5794,48.132,23.5794,52.1532,1890.19,4958.8,4969.96,4960,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.12,4810.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64.7303,44.6542,216.744,0.5,0.178837,0.000830279,1.66452E-06,3.20324E-09,5.83383E-12,9.9849E-15,1.64739E-17,1.0357E-18,4.0374E-19,-6.8821E-19,5.67683E-19,1.38086E-19,-1.10711E-18,-1.37432E-19,3.62609E-19,1.18397E-15,3.82719E-13,9.66534E-11,1.69339E-08,1.55476E-06,0.282862,0.134861,0.109088,0.109034,0.109082,0.10913,0.109179,0.109228,0.109276,0.282862,0.129106,0.125822,0.208862,0.175604,0.158961,0.142343,0.131304,0.109325,0.121975,0.109374,0.109424,0.109473,0.109522,0.109572,0.109622,0.109671,0.109721,0.109772,0.109821,0.109088,0.109061,0.109821,0.109179,0.109228,0.109034,0.109058,0.109082,0.109106,0.109252,0.109203,0.109228,0.109301,0.10935,0.109374,0,5,0
5,3.27541E-09,0,-2.49938E-05,25,0,0,2.49938E-05,0,2.96214,1.71057,1.0954,1.09034,1.09082,1.0913,1.09179,1.09228,1.09276,1.09325,1.09374,1.09424,1.09473,1.09522,1.09572,1.09622,1.09671,1.09721,1.09772,1.09821,1.09872,0,0.0153208,0,144,8,26.2196,56.9325,26.2196,38.9529,636.926,4866.43,4969.77,4960,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.15,4810.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.7303,49.6542,221.744,0.5,0.366486,0.00453431,8.93606E-06,1.74912E-08,3.39033E-11,6.3892E-14,1.14832E-16,1.84925E-18,5.75161E-19,-7.69068E-19,5.74427E-19,3.34387E-19,-1.26953E-18,-3.21997E-20,5.4876E-18,2.98512E-15,7.76324E-13,1.56187E-10,2.16117E-08,1.55474E-06,0.296214,0.171057,0.10954,0.109034,0.109082,0.10913,0.109179,0.109228,0.109276,0.296214,0.134106,0.129989,0.233635,0.19227,0.171461,0.150676,0.13686,0.109325,0.140298,0.109374,0.109424,0.109473,0.109522,0.109572,0.109622,0.109671,0.109721,0.109772,0.109821,0.10954,0.109287,0.109821,0.109179,0.109228,0.109034,0.109058,0.109082,0.109106,0.109252,0.109203,0.109228,0.109301,0.10935,0.109374,0,5,0
6,5.57195E-09,0,-7.07253E-05,30,0,0,7.07253E-05,0,2.95507,2.19399,1.119,1.0904,1.09082,1.0913,1.09179,1.09228,1.09276,1.09325,1.09374,1.09424,1.09473,1.09522,1.09572,1.09622,1.09671,1.09721,1.09772,1.09821,1.09872,0,0.0153208,0,167,8,28.8598,65.7325,28.8598,39.5767,198.116,4417.39,4968.73,4960,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.18,4810.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74.7304,54.6542,226.745,0.5,0.507068,0.0236452,5.03074E-05,9.73152E-08,1.88843E-10,3.65594E-13,6.99338E-16,2.57267E-18,5.61144E-19,-9.67459E-19,6.62312E-19,4.03839E-19,-1.36714E-18,5.47622E-19,2.03327E-17,6.31769E-15,1.37396E-12,2.29653E-10,2.62608E-08,1.55472E-06,0.295507,0.219399,0.1119,0.10904,0.109082,0.10913,0.109179,0.109228,0.109276,0.295507,0.139107,0.134155,0.257453,0.208935,0.183961,0.15901,0.142416,0.109325,0.165649,0.109374,0.109424,0.109473,0.109522,0.109572,0.109622,0.109671,0.109721,0.109772,0.109821,0.1119,0.11047,0.109821,0.10918,0.109229,0.10904,0.109061,0.109084,0.109106,0.109252,0.109203,0.109228,0.109301,0.10935,0.109374,0,5,0
7,8.74075E-09,0,-0.000147429,35,0,0,0.000147429,0,2.95512,2.60698,1.20571,1.09066,1.09082,1.0913,1.09179,1.09228,1.09276,1.09325,1.09374,1.09424,1.09473,1.09522,1.09572,1.09622,1.09671,1.09721,1.09772,1.09821,1.09872,0,0.0153208,0,190,8,31.5001,74.5287,31.5001,39.5726,82.8534,3146.76,4963.34,4959.99,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.21,4810.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,79.7305,59.6543,231.745,0.5,0.499955,0.08697,0.000261426,5.2536E-07,1.03863E-09,2.03651E-12,3.96923E-15,8.02081E-18,6.3119E-19,-6.89118E-19,1.71914E-19,6.80011E-19,-1.36714E-18,1.99151E-19,4.80061E-17,1.18705E-14,2.21671E-12,3.16881E-10,3.08813E-08,1.55469E-06,0.295512,0.260698,0.120571,0.109066,0.109082,0.10913,0.109179,0.109228,0.109276,0.295512,0.144107,0.138322,0.278105,0.225593,0.196462,0.167343,0.147971,0.109325,0.190634,0.109374,0.109424,0.109473,0.109522,0.109572,0.109622,0.109671,0.109721,0.109772,0.109821,0.120571,0.114818,0.109821,0.109184,0.109232,0.109066,0.109074,0.109093,0.109106,0.109252,0.109203,0.109228,0.109301,0.10935,0.109374,0,5,0
8,1.29177E-08,0,-0.000208411,40,0,0,0.000208411,0,3.00807,2.84391,1.41458,1.09191,1.09082,1.0913,1.09179,1.09228,1.09276,1.09325,1.09374,1.09424,1.09473,1.09522,1.09572,1.09622,1.09671,1.09721,1.09772,1.0982,1.09872,0,0.0153208,0,215,8,34.1403,83.3075,34.1403,35.0759,50.4764,1520.5,4937.54,4959.93,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.24,4810.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84.7305,64.6544,236.745,0.5,0.447049,0.210124,0.00125463,2.62174E-06,5.37394E-09,1.08555E-11,2.16634E-14,4.23909E-17,3.8562E-19,-7.33025E-19,2.90972E-19,6.80011E-19,-1.36714E-18,4.71909E-19,9.71455E-17,2.04471E-14,3.34486E-12,4.17698E-10,3.54736E-08,1.55467E-06,0.300807,0.284391,0.141458,0.109191,0.109082,0.10913,0.109179,0.109228,0.109276,0.300807,0.149107,0.142489,0.292599,0.242219,0.208962,0.175676,0.153527,0.109325,0.212924,0.109374,0.109424,0.109473,0.109522,0.109572,0.109622,0.109671,0.109721,0.109772,0.10982,0.141458,0.125324,0.10982,0.109202,0.109245,0.109191,0.109136,0.109134,0.109106,0.109252,0.109203,0.109228,0.109301,0.10935,0.109374,0,5,0
