Time,CumDrainage,CumEvap,CumGlobalWaterBalance,CumNetRain,CumRunoff,CumTrans,CumWaterBalance,PondedWater,WMenge_1,WMenge_2,WMenge_3,WMenge_4,WMenge_5,WMenge_6,WMenge_7,WMenge_8,WMenge_9,WMenge10,WMenge11,WMenge12,WMenge13,WMenge14,WMenge15,WMenge16,WMenge17,WMenge18,WMenge19,WMenge20,WMenge21,act_evap,dt_int,Exfiltration,global_iter,n_int_timesteps,ProzNFK0_100,ProzNFK0_30,ProzNFK0_Weff,Psi_1,Psi_2,Psi_3,Psi_4,Psi_5,Psi_6,Psi_7,Psi_8,Psi_9,psi_dummy,Psi10,Psi11,Psi12,Psi13,Psi14,Psi15,Psi16,Psi17,Psi18,Psi19,Psi20,Psi21,red_evap,Sink_1,Sink_2,Sink_3,Sink_4,Sink_5,Sink_6,Sink_7,Sink_8,Sink_9,Sink10,Sink11,Sink12,Sink13,Sink14,Sink15,Sink16,Sink17,Sink18,Sink19,Sink20,Sink21,sumof_internaltimesteps,SumPavSoilWater,SumPAvSoilWaterRZ,SumSoilWater,WFlow_1,WFlow_2,WFlow_3,WFlow_4,WFlow_5,WFlow_6,WFlow_7,WFlow_8,WFlow_9,WFlow10,WFlow11,WFlow12,WFlow13,WFlow14,WFlow15,WFlow16,WFlow17,WFlow18,WFlow19,WFlow20,WFlow21,WG_1,WG_2,WG_3,WG_4,WG_5,WG_6,WG_7,WG_8,WG_9,WG0_10,WG0_100,WG0_120,WG0_20,WG0_30,WG0_40,WG0_60,WG0_90,WG10,WG10_30,WG11,WG12,WG13,WG14,WG15,WG16,WG17,WG18,WG19,WG20,WG20_30,WG20_40,WG21,WG30_100,WG30_120,WG30_40,WG30_50,WG30_60,WG40_60,WG60_100,WG60_80,WG60_90,WG80_100,WG90_110,WG90_120,Groundwaterdepth,NetRain,PotEvap
[d],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[mm/d],[d],[mm],[],[],[%],[%],[%],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[],[mm],[mm],[mm],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3.cm-3],[cm3/cm3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3/cm3],[cm3/cm3],[cm3.cm-3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],,[mm],[mm]
0,0,0,0,0,0,0,0,0,1.08889,1.08937,1.08985,1.09033,1.09082,1.0913,1.09179,1.09228,1.09276,1.09325,1.09374,1.09424,1.09473,1.09522,1.09572,1.09622,1.09671,1.09721,1.09772,1.09822,1.09872,0,0.001,0,0,0,13.0185,12.929,13.0185,5000,4990,4980,4970,4960,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810,4800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.7303,0.246542,196.744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108889,0.108937,0.108985,0.109033,0.109082,0.10913,0.109179,0.109228,0.109276,0.108889,0.109106,0.109155,0.108913,0.108937,0.108961,0.109009,0.109082,0.109325,0.108961,0.109374,0.109424,0.109473,0.109522,0.109572,0.109622,0.109671,0.109721,0.109772,0.109822,0.108985,0.109009,0.109872,0.109179,0.109228,0.109033,0.109058,0.109082,0.109106,0.109252,0.109203,0.109228,0.109301,0.10935,0.109374,0,5,0
1,3.38687E-11,0,-0.00277285,5,0,0,0.00277285,0,1.58276,1.09577,1.08986,1.09033,1.09082,1.0913,1.09179,1.09228,1.09276,1.09325,1.09374,1.09424,1.09473,1.09522,1.09572,1.09622,1.09671,1.09721,1.09772,1.09822,1.09872,0,0.138387,0,63,23,15.6602,21.7346,15.6602,1053.43,4859.51,4979.89,4970,4960,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.03,4810.03,0.499483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49.7331,29.6569,201.747,0.5,0.006411,5.46639E-06,4.31021E-09,3.20657E-12,2.2687E-15,6.17546E-19,5.66884E-19,-1.05269E-19,-1.98311E-19,-1.0092E-19,3.74823E-19,-1.35422E-19,1.045E-19,-4.94794E-19,-2.83315E-19,3.84661E-18,3.52931E-15,3.38687E-12,2.67308E-09,1.55478E-06,0.158276,0.109577,0.108986,0.109033,0.109082,0.10913,0.109179,0.109228,0.109276,0.158276,0.114109,0.113324,0.133927,0.125613,0.121468,0.117347,0.114641,0.109325,0.109282,0.109374,0.109424,0.109473,0.109522,0.109572,0.109622,0.109671,0.109721,0.109772,0.109822,0.108986,0.10901,0.109822,0.109179,0.109228,0.109033,0.109058,0.109082,0.109106,0.109252,0.109203,0.109228,0.109301,0.10935,0.109374,0,5,0
2,2.34735E-10,0,-0.00647656,10,0,0,0.00647656,0,1.97305,1.20565,1.09006,1.09033,1.09082,1.0913,1.09179,1.09228,1.09276,1.09325,1.09374,1.09424,1.09473,1.09522,1.09572,1.09622,1.09671,1.09721,1.09772,1.09821,1.09872,0,0.0153208,0,103,8,18.3023,30.5419,18.3023,399.519,3202.91,4975.6,4970,4960,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.06,4810.06,0.724343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,54.7368,34.6606,206.751,0.5,0.110205,0.000206831,2.30692E-07,2.42756E-10,2.42265E-13,2.29869E-16,9.34472E-19,-2.09392E-19,-1.35948E-19,-1.90144E-19,1.71486E-20,1.7698E-19,5.88052E-19,-1.3176E-18,-4.96532E-19,6.37855E-17,3.93842E-14,2.00866E-11,7.49131E-09,1.55481E-06,0.197305,0.120565,0.109006,0.109033,0.109082,0.10913,0.109179,0.109228,0.109276,0.197305,0.119113,0.117494,0.158935,0.142292,0.133977,0.125687,0.1202,0.109325,0.114786,0.109374,0.109424,0.109473,0.109522,0.109572,0.109622,0.109671,0.109721,0.109772,0.109821,0.109006,0.10902,0.109821,0.109179,0.109228,0.109033,0.109058,0.109082,0.109106,0.109252,0.109203,0.109228,0.109301,0.10935,0.109374,0,5,0
3,7.47017E-10,0,-0.00546977,15,0,0,0.00546977,0,2.20432,1.47078,1.09356,1.09034,1.09082,1.0913,1.09179,1.09228,1.09276,1.09325,1.09374,1.09424,1.09473,1.09522,1.09572,1.09622,1.09671,1.09721,1.09772,1.09821,1.09872,0,0.0153208,0,139,8,20.942,39.3408,20.942,237.165,1368.43,4903.92,4969.9,4960,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.09,4810.09,0.828158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,59.7358,39.6596,211.75,0.5,0.268824,0.00349903,4.51034E-06,5.5889E-09,6.70141E-12,7.75908E-15,9.70662E-18,-4.75801E-19,-2.69845E-19,2.13637E-19,-7.94625E-19,7.20991E-19,1.13491E-18,-2.27963E-18,-1.12714E-19,3.5385E-16,1.51295E-13,5.12282E-11,1.22272E-08,1.55479E-06,0.220432,0.147078,0.109356,0.109034,0.109082,0.10913,0.109179,0.109228,0.109276,0.220432,0.124112,0.12166,0.183755,0.158955,0.146475,0.134019,0.125755,0.109325,0.128217,0.109374,0.109424,0.109473,0.109522,0.109572,0.109622,0.109671,0.109721,0.109772,0.109821,0.109356,0.109195,0.109821,0.109179,0.109228,0.109034,0.109058,0.109082,0.109106,0.109252,0.109203,0.109228,0.109301,0.10935,0.109374,0,5,0
4,1.71356E-09,0,-0.00690019,20,0,0,0.00690019,0,2.38618,1.75488,1.12768,1.0904,1.09082,1.0913,1.09179,1.09228,1.09276,1.09325,1.09374,1.09424,1.09473,1.09522,1.09572,1.09622,1.09671,1.09721,1.09772,1.09821,1.09872,0,0.0153208,0,172,8,23.583,48.143,23.583,160.941,631.552,4273.43,4968.72,4960,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.12,4810.12,0.904967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,64.7372,44.6611,216.751,0.5,0.318041,0.0341806,5.7307E-05,8.09576E-08,1.09762E-10,1.43727E-13,1.83225E-16,-3.51697E-19,-4.03741E-19,6.17417E-19,-1.6064E-18,1.265E-18,1.68177E-18,-3.24166E-18,2.2966E-18,1.1805E-15,3.82727E-13,9.66541E-11,1.6934E-08,1.55476E-06,0.238618,0.175488,0.112768,0.10904,0.109082,0.10913,0.109179,0.109228,0.109276,0.238618,0.129113,0.125828,0.207053,0.175625,0.158978,0.142354,0.131312,0.109325,0.144128,0.109374,0.109424,0.109473,0.109522,0.109572,0.109622,0.109671,0.109721,0.109772,0.109821,0.112768,0.110904,0.109821,0.10918,0.109229,0.10904,0.109061,0.109084,0.109106,0.109252,0.109203,0.109228,0.109301,0.10935,0.109374,0,5,0
5,3.27544E-09,0,-0.00898773,25,0,0,0.00898773,0,2.53239,1.98162,1.25446,1.09088,1.09082,1.0913,1.09179,1.09228,1.09276,1.09325,1.09374,1.09424,1.09473,1.09522,1.09572,1.09622,1.09671,1.09721,1.09772,1.09821,1.09872,0,0.0153208,0,202,8,26.2243,56.9389,26.2243,118.965,363.763,2681.72,4958.74,4959.98,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.15,4810.15,0.964903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.7393,49.6631,221.753,0.5,0.353654,0.127357,0.000483621,7.75383E-07,1.1955E-09,1.77204E-12,2.5308E-15,3.41663E-18,-5.37638E-19,1.0212E-18,-2.41817E-18,1.80901E-18,2.22863E-18,-4.20368E-18,8.92703E-18,2.97953E-15,7.76336E-13,1.56188E-10,2.16118E-08,1.55474E-06,0.253239,0.198162,0.125446,0.109088,0.109082,0.10913,0.109179,0.109228,0.109276,0.253239,0.134115,0.129996,0.2257,0.192282,0.171484,0.150691,0.13687,0.109325,0.161804,0.109374,0.109424,0.109473,0.109522,0.109572,0.109622,0.109671,0.109721,0.109772,0.109821,0.125446,0.117267,0.109821,0.109187,0.109234,0.109088,0.109085,0.1091,0.109106,0.109252,0.109203,0.109228,0.109301,0.10935,0.109374,0,5,0
6,5.57199E-09,0,-0.00942194,30,0,0,0.00942194,0,2.64229,2.15954,1.46284,1.09471,1.09082,1.0913,1.09179,1.09228,1.09276,1.09325,1.09374,1.09424,1.09473,1.09522,1.09572,1.09622,1.09671,1.09721,1.09772,1.09821,1.09872,0,0.0153208,0,232,8,28.8648,65.6728,28.8648,95.0359,243.109,1376.47,4880.52,4959.85,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.18,4810.18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,74.7397,54.6636,226.754,0.5,0.390031,0.212339,0.00383815,6.35234E-06,1.03011E-08,1.64425E-11,2.56587E-14,3.89825E-17,-3.63398E-19,1.42498E-18,-3.22994E-18,2.35302E-18,2.77549E-18,-5.08539E-18,2.3229E-17,6.31285E-15,1.37398E-12,2.29655E-10,2.62609E-08,1.55472E-06,0.264229,0.215954,0.146284,0.109471,0.109082,0.10913,0.109179,0.109228,0.109276,0.264229,0.139116,0.134163,0.240092,0.208822,0.183985,0.159025,0.142426,0.109325,0.181119,0.109374,0.109424,0.109473,0.109522,0.109572,0.109622,0.109671,0.109721,0.109772,0.109821,0.146284,0.127877,0.109821,0.109242,0.109277,0.109471,0.109277,0.109228,0.109106,0.109252,0.109203,0.109228,0.109301,0.10935,0.109374,0,5,0
7,8.74082E-09,0,-0.00929812,35,0,0,0.00929812,0,2.73115,2.31582,1.69316,1.1192,1.09087,1.0913,1.09179,1.09228,1.09276,1.09325,1.09374,1.09424,1.09473,1.09522,1.09572,1.09622,1.09671,1.09721,1.09772,1.09821,1.09872,0,0.0153208,0,261,8,31.5049,74.0415,31.5049,79.2756,173.609,723.377,4418.22,4958.88,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.21,4810.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,79.7396,59.6635,231.754,0.5,0.411126,0.254946,0.0245353,4.73415E-05,8.06472E-08,1.34497E-10,2.20464E-13,3.54907E-16,2.16251E-19,1.82876E-18,-3.88604E-18,2.74054E-18,3.32235E-18,-5.5366E-18,5.08429E-17,1.18648E-14,2.21674E-12,3.16883E-10,3.08815E-08,1.55469E-06,0.273115,0.231582,0.169316,0.11192,0.109087,0.10913,0.109179,0.109228,0.109276,0.273115,0.144116,0.13833,0.252348,0.224671,0.196483,0.167358,0.147981,0.109325,0.200449,0.109374,0.109424,0.109473,0.109522,0.109572,0.109622,0.109671,0.109721,0.109772,0.109821,0.169316,0.140618,0.109821,0.109592,0.109549,0.11192,0.110503,0.110046,0.109109,0.109252,0.109203,0.109228,0.109301,0.10935,0.109374,0,5,0
8,1.29178E-08,0,-0.00833707,40,0,0,0.00833707,0,2.80608,2.45161,1.89552,1.20572,1.09116,1.0913,1.09179,1.09228,1.09276,1.09325,1.09374,1.09424,1.09473,1.09522,1.09572,1.09622,1.09671,1.09721,1.09772,1.0982,1.09872,0,0.0153208,0,287,8,34.1446,81.3125,34.1446,67.9837,130.777,434.711,3179.33,4952.97,4949.99,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.24,4810.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84.7387,64.6625,236.753,0.5,0.425128,0.28929,0.0868372,0.000286996,5.32246E-07,9.54581E-10,1.66393E-12,2.83186E-15,4.14254E-18,2.23254E-18,-4.27155E-18,2.85606E-18,3.86921E-18,-5.9489E-18,1.00151E-16,2.04406E-14,3.34491E-12,4.17701E-10,3.54738E-08,1.55467E-06,0.280608,0.245161,0.189552,0.120572,0.109116,0.10913,0.109179,0.109228,0.109276,0.280608,0.149115,0.142496,0.262885,0.238441,0.208973,0.17569,0.153536,0.109325,0.217357,0.109374,0.109424,0.109473,0.109522,0.109572,0.109622,0.109671,0.109721,0.109772,0.10982,0.189552,0.155062,0.10982,0.110832,0.110514,0.120572,0.114844,0.112939,0.109123,0.109252,0.109203,0.109228,0.109301,0.10935,0.109374,0,5,0
