Time,CumDrainage,CumEvap,CumGlobalWaterBalance,CumNetRain,CumRunoff,CumTrans,CumWaterBalance,PondedWater,WMenge_1,WMenge_2,WMenge_3,WMenge_4,WMenge_5,WMenge_6,WMenge_7,WMenge_8,WMenge_9,WMenge10,WMenge11,WMenge12,WMenge13,WMenge14,WMenge15,WMenge16,WMenge17,WMenge18,WMenge19,WMenge20,WMenge21,act_evap,dt_int,Exfiltration,global_iter,n_int_timesteps,ProzNFK0_100,ProzNFK0_30,ProzNFK0_Weff,Psi_1,Psi_2,Psi_3,Psi_4,Psi_5,Psi_6,Psi_7,Psi_8,Psi_9,psi_dummy,Psi10,Psi11,Psi12,Psi13,Psi14,Psi15,Psi16,Psi17,Psi18,Psi19,Psi20,Psi21,red_evap,Sink_1,Sink_2,Sink_3,Sink_4,Sink_5,Sink_6,Sink_7,Sink_8,Sink_9,Sink10,Sink11,Sink12,Sink13,Sink14,Sink15,Sink16,Sink17,Sink18,Sink19,Sink20,Sink21,sumof_internaltimesteps,SumPavSoilWater,SumPAvSoilWaterRZ,SumSoilWater,WFlow_1,WFlow_2,WFlow_3,WFlow_4,WFlow_5,WFlow_6,WFlow_7,WFlow_8,WFlow_9,WFlow10,WFlow11,WFlow12,WFlow13,WFlow14,WFlow15,WFlow16,WFlow17,WFlow18,WFlow19,WFlow20,WFlow21,WG_1,WG_2,WG_3,WG_4,WG_5,WG_6,WG_7,WG_8,WG_9,WG0_10,WG0_100,WG0_120,WG0_20,WG0_30,WG0_40,WG0_60,WG0_90,WG10,WG10_30,WG11,WG12,WG13,WG14,WG15,WG16,WG17,WG18,WG19,WG20,WG20_30,WG20_40,WG21,WG30_100,WG30_120,WG30_40,WG30_50,WG30_60,WG40_60,WG60_100,WG60_80,WG60_90,WG80_100,WG90_110,WG90_120,Groundwaterdepth,NetRain,PotEvap
[d],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[mm/d],[d],[mm],[],[],[%],[%],[%],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[],[mm],[mm],[mm],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3.cm-3],[cm3/cm3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3/cm3],[cm3/cm3],[cm3.cm-3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],,[mm],[mm]
0,0,0,0,0,0,0,0,0,1.08889,1.08937,1.08985,1.3613,1.36193,1.36257,1.955,1.95545,1.95591,1.95637,0.787422,0.787846,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791285,1.09872,0,0.001,0,0,0,14.7187,12.929,14.7187,5000,4990,4980,4970,4960,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810,4800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.8128,0.269025,214.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108889,0.108937,0.108985,0.13613,0.136193,0.136257,0.1955,0.195545,0.195591,0.108889,0.151767,0.139599,0.108913,0.108937,0.115735,0.122565,0.146892,0.195637,0.108961,0.0787422,0.0787846,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791285,0.108985,0.122557,0.109872,0.170122,0.14982,0.13613,0.136162,0.136193,0.136225,0.195568,0.195523,0.195545,0.195614,0.13719,0.117721,0,5,0
1,6.75227E-12,0,-4.47511E-14,5,0,0,4.47511E-14,0,1.58642,1.09185,1.09382,1.35738,1.36202,1.37285,1.94462,1.95541,1.95589,1.9512,0.792617,0.787848,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791286,0.791286,0,0.0117422,0.888886,108,55,17.4259,21.7997,17.4259,900.35,4938.81,4898.44,5032.13,4958.6,4792.22,5173.06,4930.94,4920.48,0,5023.93,4779.46,4889.96,4880,4870,4860,4850,4840,4830,4820,4809.98,4809.98,0.562876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.8128,31.8505,219.88,0.5,0.00247183,-4.13499E-06,-0.0039734,-5.52746E-05,-0.000144294,-0.0104224,-4.32148E-05,-6.19407E-08,2.18576E-05,0.00519687,1.83355E-06,4.34167E-10,9.13336E-13,8.44122E-13,8.52198E-13,8.59313E-13,8.67216E-13,6.75227E-13,-5.47012E-10,-7.06241E-07,0.158642,0.109185,0.109382,0.135738,0.136202,0.137285,0.194462,0.195541,0.195589,0.158642,0.156715,0.143766,0.133913,0.125736,0.128237,0.131072,0.152447,0.19512,0.109283,0.0792617,0.0787848,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791286,0.109382,0.12256,0.0791286,0.169991,0.149776,0.135738,0.13597,0.136408,0.136744,0.195178,0.195001,0.195197,0.195354,0.137191,0.117722,0,5,0
2,1.01281E-11,0,1.84462E-14,10,0,0,-1.84466E-14,0,2.05538,1.12286,1.09766,1.35373,1.36229,1.3827,1.93446,1.95529,1.95583,1.94622,0.797652,0.787854,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791285,0.791285,0,0.02,5.65674,208,50,20.1339,30.6675,20.1339,270.649,4348.73,4821.18,5090.88,4954.47,4646.71,5412.99,4933.63,4921.85,0,5136.32,4666.17,4889.83,4880,4870,4860,4850,4840,4830,4820,4809.99,4809.99,0.799523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53.8128,36.8001,224.88,0.5,0.0310385,2.36267E-05,-0.00381182,-0.000160896,-0.000424594,-0.0102787,-0.000123409,-4.06897E-07,6.26701E-05,0.00504118,5.43814E-06,2.9392E-09,1.94333E-12,8.43708E-13,8.52199E-13,8.5936E-13,8.66737E-13,3.37583E-13,-4.28985E-10,1.68821E-07,0.205538,0.112286,0.109766,0.135373,0.136229,0.13827,0.193446,0.195529,0.195583,0.205538,0.161664,0.147933,0.158912,0.14253,0.140741,0.139577,0.158002,0.194622,0.111026,0.0797652,0.0787854,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791285,0.109766,0.122569,0.0791285,0.169865,0.149734,0.135373,0.135801,0.136624,0.137249,0.194795,0.194488,0.194853,0.195102,0.137194,0.117724,0,5,0
3,1.09544E-11,0,4.4827E-14,15,0,0,-4.48274E-14,0,2.40766,1.27021,1.10169,1.35033,1.36272,1.39214,1.92452,1.95509,1.95573,1.94142,0.80254,0.787863,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791285,0.791285,0,0.02,18.5956,308,50,22.8427,39.5327,22.8427,125.315,2482.67,4741.6,5146.33,4947.62,4512.42,5659.84,4937.92,4924.07,0,5247.23,4559.44,4889.62,4880,4870,4860,4850,4840,4830,4820,4809.99,4809.99,0.953259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58.8128,41.7511,229.88,0.5,0.147719,0.000367629,-0.00366157,-0.000262863,-0.000700007,-0.010136,-0.000197258,-1.05648E-06,0.000100605,0.00489625,9.05259E-06,7.90369E-09,5.54537E-12,8.45669E-13,8.52201E-13,8.59355E-13,8.66422E-13,8.26271E-14,-3.11154E-10,1.68821E-07,0.240766,0.127021,0.110169,0.135033,0.136272,0.139214,0.192452,0.195509,0.195573,0.240766,0.166615,0.152099,0.183894,0.159319,0.153247,0.148079,0.163557,0.194142,0.118595,0.080254,0.0787863,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791285,0.110169,0.122601,0.0791285,0.169742,0.149693,0.135033,0.135653,0.13684,0.137743,0.194419,0.193981,0.194511,0.194857,0.137198,0.117728,0,5,0
4,1.00465E-11,0,1.28468E-13,20,0,0,-1.28468E-13,0,2.59588,1.57881,1.10838,1.34718,1.36333,1.40116,1.9148,1.95483,1.95559,1.9368,0.807288,0.787875,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791285,0.791285,0,0.02,33.7858,408,50,25.5522,48.3952,25.5522,84.776,920.415,4612.85,5198.33,4938.12,4388.43,5913.63,4943.68,4927.08,0,5356.73,4458.69,4889.32,4880,4870,4860,4850,4840,4830,4820,4810,4810,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63.8128,46.7035,234.88,0.5,0.311782,0.00318833,-0.00350846,-0.000361754,-0.000969802,-0.00999281,-0.000265395,-1.97752E-06,0.000135936,0.00476099,1.26791E-05,1.53325E-08,1.33997E-11,8.51276E-13,8.52205E-13,8.5935E-13,8.6581E-13,-9.07871E-14,-1.93488E-10,1.6882E-07,0.259588,0.157881,0.110838,0.134718,0.136333,0.140116,0.19148,0.195483,0.195559,0.259588,0.171568,0.156266,0.208734,0.176102,0.165756,0.156579,0.169111,0.19368,0.134359,0.0807288,0.0787875,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791285,0.110838,0.122778,0.0791285,0.169624,0.149654,0.134718,0.135526,0.137056,0.138225,0.19405,0.193481,0.194174,0.194619,0.137204,0.117732,0,5,0
5,8.21411E-12,0,1.13451E-13,25,0,0,-1.13452E-13,0,2.70527,1.94789,1.13317,1.34438,1.36411,1.40978,1.90528,1.9545,1.95542,1.93233,0.811906,0.787892,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791285,0.791285,0,0.02,47.4293,508,50,28.2624,57.2533,28.2624,67.594,348.54,4171.79,5245.22,4926.02,4273.93,6174.32,4950.81,4930.83,0,5464.86,4363.37,4888.94,4880,4870,4860,4850,4840,4830,4820,4810,4810,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68.8128,51.6572,239.88,0.5,0.390614,0.0215308,-0.00326148,-0.000456977,-0.00123313,-0.00984792,-0.000328352,-3.13976E-06,0.000168896,0.0046345,1.63188E-05,2.52314E-08,2.71887E-11,8.64518E-13,8.52215E-13,8.59345E-13,8.65031E-13,-1.83239E-13,-7.59866E-11,1.6882E-07,0.270527,0.194789,0.113317,0.134438,0.136411,0.140978,0.190528,0.19545,0.195542,0.270527,0.176521,0.160433,0.232658,0.192878,0.178268,0.165077,0.174664,0.193233,0.154053,0.0811906,0.0787892,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791285,0.113317,0.123878,0.0791285,0.169511,0.149618,0.134438,0.135424,0.137275,0.138694,0.193688,0.192989,0.19384,0.194387,0.137212,0.117738,0,5,0
6,6.2805E-12,0,5.75425E-14,30,0,0,-5.75429E-14,0,2.79463,2.26869,1.22553,1.3424,1.36505,1.41799,1.89596,1.95412,1.95521,1.92802,0.816402,0.787912,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791285,0.791285,0,0.02,62.5087,608,50,30.9733,66.0985,30.9733,56.0549,168.362,2921.84,5278.65,4911.31,4168.18,6441.81,4959.2,4935.29,0,5571.7,4273.04,4888.47,4880,4870,4860,4850,4840,4830,4820,4810,4810,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73.8128,56.612,244.88,0.5,0.410634,0.0898333,-0.00252359,-0.000542546,-0.00148902,-0.00970048,-0.000386591,-4.51555E-06,0.000199689,0.00451599,1.99726E-05,3.76071E-08,4.85969E-11,8.89503E-13,8.52238E-13,8.59337E-13,8.64424E-13,-1.93361E-13,4.13516E-11,1.68819E-07,0.279463,0.226869,0.122553,0.13424,0.136505,0.141799,0.189596,0.195412,0.195521,0.279463,0.181476,0.164599,0.253166,0.209628,0.190781,0.173572,0.180218,0.192802,0.174711,0.0816402,0.0787912,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791285,0.122553,0.128396,0.0791285,0.169411,0.14959,0.13424,0.135373,0.137515,0.139152,0.193333,0.192504,0.19351,0.194161,0.137221,0.117744,0,5,0
7,5.05911E-12,0,8.52166E-14,35,0,0,-8.52187E-14,0,2.86861,2.48276,1.43771,1.34277,1.36619,1.4258,1.88685,1.95369,1.95498,1.92384,0.820783,0.787935,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791285,0.791285,0,0.02,78.7431,708,50,33.6847,74.9032,33.6847,47.8647,107.14,1412.04,5272.37,4893.67,4070.51,6715.96,4968.76,4940.43,0,5677.28,4187.28,4887.91,4880,4870,4860,4850,4840,4830,4820,4810.01,4810.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78.8128,61.568,249.88,0.5,0.426022,0.211953,-0.000224982,-0.000595811,-0.00173618,-0.00954992,-0.000440519,-6.0796E-06,0.000228495,0.00440475,2.36414E-05,5.24671E-08,7.93117E-11,9.3215E-13,8.51803E-13,8.59327E-13,8.63686E-13,-1.22139E-13,1.58527E-10,1.68819E-07,0.286861,0.248276,0.143771,0.134277,0.136619,0.14258,0.188685,0.195369,0.195498,0.286861,0.186432,0.168766,0.267568,0.226303,0.203296,0.182064,0.185771,0.192384,0.196023,0.0820783,0.0787935,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791285,0.143771,0.139024,0.0791285,0.169345,0.149587,0.134277,0.135448,0.137825,0.1396,0.192984,0.192027,0.193184,0.193941,0.137231,0.117752,0,5,0
8,5.36037E-12,0,1.81868E-13,40,0,0,-1.81868E-13,0,2.92162,2.61588,1.74426,1.35063,1.36762,1.43323,1.87795,1.9532,1.95471,1.9198,0.825056,0.787962,0.788273,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791284,0.791284,0,0.02,93.1197,808,50,36.3968,83.5751,36.3968,42.6347,81.3438,582.141,5141.42,4871.68,3980.31,6996.57,4979.41,4946.19,0,5781.66,4105.73,4887.27,4880,4870,4860,4850,4840,4830,4820,4810.01,4810.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83.8128,66.525,254.88,0.5,0.44699,0.313867,0.00731605,-0.000544514,-0.00197215,-0.00939593,-0.000490495,-7.80875E-06,0.000255474,0.00430016,2.73259E-05,6.98196E-08,1.21023E-10,9.99408E-13,8.51431E-13,8.59318E-13,8.62952E-13,3.01255E-14,2.75538E-10,1.68819E-07,0.292162,0.261588,0.174426,0.135063,0.136762,0.143323,0.187795,0.19532,0.195471,0.292162,0.191389,0.172933,0.276875,0.242725,0.21581,0.190554,0.191323,0.19198,0.218007,0.0825056,0.0787962,0.0788273,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791284,0.174426,0.154744,0.0791284,0.169388,0.149668,0.135063,0.135913,0.138383,0.140042,0.192642,0.191558,0.192862,0.193725,0.137243,0.11776,0,5,0
