Time,CumDrainage,CumEvap,CumGlobalWaterBalance,CumNetRain,CumRunoff,CumTrans,CumWaterBalance,PondedWater,WMenge_1,WMenge_2,WMenge_3,WMenge_4,WMenge_5,WMenge_6,WMenge_7,WMenge_8,WMenge_9,WMenge10,WMenge11,WMenge12,WMenge13,WMenge14,WMenge15,WMenge16,WMenge17,WMenge18,WMenge19,WMenge20,WMenge21,act_evap,dt_int,Exfiltration,global_iter,n_int_timesteps,ProzNFK0_100,ProzNFK0_30,ProzNFK0_Weff,Psi_1,Psi_2,Psi_3,Psi_4,Psi_5,Psi_6,Psi_7,Psi_8,Psi_9,psi_dummy,Psi10,Psi11,Psi12,Psi13,Psi14,Psi15,Psi16,Psi17,Psi18,Psi19,Psi20,Psi21,red_evap,Sink_1,Sink_2,Sink_3,Sink_4,Sink_5,Sink_6,Sink_7,Sink_8,Sink_9,Sink10,Sink11,Sink12,Sink13,Sink14,Sink15,Sink16,Sink17,Sink18,Sink19,Sink20,Sink21,sumof_internaltimesteps,SumPavSoilWater,SumPAvSoilWaterRZ,SumSoilWater,WFlow_1,WFlow_2,WFlow_3,WFlow_4,WFlow_5,WFlow_6,WFlow_7,WFlow_8,WFlow_9,WFlow10,WFlow11,WFlow12,WFlow13,WFlow14,WFlow15,WFlow16,WFlow17,WFlow18,WFlow19,WFlow20,WFlow21,WG_1,WG_2,WG_3,WG_4,WG_5,WG_6,WG_7,WG_8,WG_9,WG0_10,WG0_100,WG0_120,WG0_20,WG0_30,WG0_40,WG0_60,WG0_90,WG10,WG10_30,WG11,WG12,WG13,WG14,WG15,WG16,WG17,WG18,WG19,WG20,WG20_30,WG20_40,WG21,WG30_100,WG30_120,WG30_40,WG30_50,WG30_60,WG40_60,WG60_100,WG60_80,WG60_90,WG80_100,WG90_110,WG90_120,Groundwaterdepth,NetRain,PotEvap
[d],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[mm/d],[d],[mm],[],[],[%],[%],[%],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[],[mm],[mm],[mm],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3.cm-3],[cm3/cm3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3/cm3],[cm3/cm3],[cm3.cm-3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],,[mm],[mm]
0,0,0,0,0,0,0,0,0,1.08889,1.08937,1.08985,1.3613,1.36193,1.36257,1.955,1.95545,1.95591,1.95637,0.787422,0.787846,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791285,1.09872,0,0.001,0,0,0,14.7187,12.929,14.7187,5000,4990,4980,4970,4960,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810,4800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.8128,0.269025,214.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108889,0.108937,0.108985,0.13613,0.136193,0.136257,0.1955,0.195545,0.195591,0.108889,0.151767,0.139599,0.108913,0.108937,0.115735,0.122565,0.146892,0.195637,0.108961,0.0787422,0.0787846,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791285,0.108985,0.122557,0.109872,0.170122,0.14982,0.13613,0.136162,0.136193,0.136225,0.195568,0.195523,0.195545,0.195614,0.13719,0.117721,0,5,0
1,1.42775E-13,0,-4.84557E-05,5,0,0,4.84557E-05,0,1.58353,1.09474,1.08986,1.3613,1.36193,1.36257,1.955,1.95545,1.95591,1.95637,0.787422,0.787846,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791285,1.09872,0,0.0117422,0,108,55,17.4543,21.7298,17.4543,907.909,4879.89,4979.93,4970,4960,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810,4810,0.561314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.8128,31.9025,219.88,0.5,0.00536818,3.4697E-06,1.2833E-08,5.96451E-11,2.51179E-13,5.94093E-16,2.20169E-19,0,0,0,0,0,0,0,0,0,2.06361E-18,1.42775E-14,5.95955E-11,1.68567E-07,0.158353,0.109474,0.108986,0.13613,0.136193,0.136257,0.1955,0.195545,0.195591,0.158353,0.156767,0.143766,0.133913,0.125604,0.128235,0.130899,0.152448,0.195637,0.10923,0.0787422,0.0787846,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791285,0.108986,0.122558,0.0791285,0.170122,0.14982,0.13613,0.136162,0.136193,0.136225,0.195568,0.195523,0.195545,0.195614,0.13719,0.117721,0,5,0
2,1.11213E-12,0,-8.85088E-05,10,0,0,8.85088E-05,0,1.97742,1.20069,1.09002,1.3613,1.36193,1.36257,1.955,1.95545,1.95591,1.95637,0.787422,0.787846,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791285,1.09872,0,0.02,0,208,50,20.1899,30.5306,20.1899,324.794,3206.99,4976.58,4969.99,4960,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.01,4810.01,0.764725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53.8129,36.9026,224.88,0.5,0.106114,0.000162254,9.22778E-07,6.726E-09,4.53138E-11,1.72828E-13,3.08206E-16,-5.55218E-20,0,0,0,0,0,0,0,0,3.57896E-17,9.6935E-14,1.76778E-10,1.6882E-07,0.197742,0.120069,0.109002,0.13613,0.136193,0.136257,0.1955,0.195545,0.195591,0.197742,0.161767,0.147933,0.158905,0.142271,0.140735,0.139232,0.158003,0.195637,0.114535,0.0787422,0.0787846,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791285,0.109002,0.122566,0.0791285,0.170122,0.14982,0.13613,0.136162,0.136193,0.136225,0.195568,0.195523,0.195545,0.195614,0.13719,0.117721,0,5,0
3,3.7175E-12,0,-0.000114962,15,0,0,0.000114962,0,2.20916,1.46597,1.09298,1.36132,1.36193,1.36257,1.955,1.95545,1.95591,1.95637,0.787422,0.787846,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791284,1.09872,0,0.02,0,308,50,22.9255,39.3311,22.9255,191.624,1292.01,4915.68,4969.67,4960,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.01,4810.01,0.869873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58.8129,41.9026,229.88,0.5,0.268257,0.00297949,2.05079E-05,1.87468E-07,1.62487E-09,8.12675E-12,1.93315E-14,4.45562E-17,0,0,0,0,0,0,0,0,1.55549E-16,2.60538E-13,2.93765E-10,1.68819E-07,0.220916,0.146597,0.109298,0.136132,0.136193,0.136257,0.1955,0.195545,0.195591,0.220916,0.166767,0.152099,0.183756,0.158937,0.153236,0.147565,0.163559,0.195637,0.127947,0.0787422,0.0787846,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791284,0.109298,0.122715,0.0791284,0.170122,0.14982,0.136132,0.136163,0.136194,0.136225,0.195568,0.195523,0.195545,0.195614,0.13719,0.117721,0,5,0
4,8.76611E-12,0,-0.00012988,20,0,0,0.00012988,0,2.39551,1.74917,1.12317,1.36157,1.36194,1.36257,1.955,1.95545,1.95591,1.95637,0.787422,0.787846,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791284,1.09872,0,0.02,0,408,50,25.6611,48.1273,25.6611,128.551,574.644,4343.35,4965.67,4959.95,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.02,4810.02,0.948997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63.8129,46.9026,234.88,0.5,0.313649,0.0304495,0.000257169,2.86563E-06,2.96438E-08,1.76613E-10,5.04118E-13,1.37169E-15,8.43677E-19,0,0,0,0,0,0,0,4.16737E-16,5.04861E-13,4.1059E-10,1.68819E-07,0.239551,0.174917,0.112317,0.136157,0.136194,0.136257,0.1955,0.195545,0.195591,0.239551,0.171767,0.156266,0.207234,0.175595,0.165735,0.155899,0.169114,0.195637,0.143617,0.0787422,0.0787846,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791284,0.112317,0.124237,0.0791284,0.170126,0.149823,0.136157,0.136175,0.136203,0.136225,0.195568,0.195523,0.195545,0.195614,0.13719,0.117721,0,5,0
5,1.70629E-11,0,-0.000141081,25,0,0,0.000141081,0,2.5454,1.97699,1.24397,1.36304,1.36196,1.36257,1.955,1.95545,1.95591,1.95637,0.787422,0.787846,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791284,1.09872,0,0.02,0,508,50,28.3967,56.9018,28.3967,94.0985,325.125,2729.98,4942.63,4959.6,4949.99,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.02,4810.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68.8129,51.9026,239.88,0.5,0.350118,0.122296,0.0014925,2.2972E-05,3.05659E-07,2.24264E-09,7.67759E-12,2.46308E-14,6.82263E-17,0,0,0,0,0,0,8.63998E-21,8.74924E-16,8.2968E-13,5.27252E-10,1.68818E-07,0.25454,0.197699,0.124397,0.136304,0.136196,0.136257,0.1955,0.195545,0.195591,0.25454,0.176767,0.160433,0.226119,0.192212,0.178235,0.164232,0.17467,0.195637,0.161048,0.0787422,0.0787846,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791284,0.124397,0.130351,0.0791284,0.170147,0.14984,0.136304,0.13625,0.136252,0.136227,0.195568,0.195523,0.195545,0.195614,0.13719,0.117721,0,5,0
6,2.94106E-11,0,-0.000148319,30,0,0,0.000148319,0,2.65558,2.15687,1.44845,1.36839,1.36206,1.36257,1.955,1.95545,1.95591,1.95637,0.787422,0.787846,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791284,1.09872,0,0.02,0,608,50,31.1323,65.6065,31.1323,74.9325,215.086,1364.87,4859.85,4957.98,4949.97,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.02,4810.02,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73.8129,56.9026,244.88,0.5,0.389817,0.209938,0.00545678,0.000104965,1.78605E-06,1.65818E-08,7.02812E-11,2.72682E-13,9.78463E-16,2.47922E-19,0,0,0,0,0,2.69999E-20,1.58517E-15,1.23477E-12,6.43751E-10,1.68818E-07,0.265558,0.215687,0.144845,0.136839,0.136206,0.136257,0.1955,0.195545,0.195591,0.265558,0.181767,0.164599,0.240622,0.208697,0.190732,0.172565,0.180225,0.195637,0.180266,0.0787422,0.0787846,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791284,0.144845,0.140842,0.0791284,0.170225,0.1499,0.136839,0.136523,0.136434,0.136232,0.195568,0.195523,0.195545,0.195614,0.13719,0.117721,0,5,0
7,4.66098E-11,0,-0.000153163,35,0,0,0.000153163,0,2.74345,2.31685,1.67695,1.39159,1.3625,1.36258,1.955,1.95545,1.95591,1.95637,0.787422,0.787846,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791284,1.09872,0,0.02,0,708,50,33.8678,73.991,33.8678,62.4206,151.84,697.852,4520.04,4951.08,4949.84,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.03,4810.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78.8129,61.9026,249.88,0.5,0.412129,0.252149,0.0236486,0.000448033,8.00601E-06,8.48805E-08,4.26293E-10,1.97379E-12,8.44447E-15,1.30459E-17,0,0,0,0,0,1.05462E-18,2.60219E-15,1.71991E-12,7.60088E-10,1.68818E-07,0.274345,0.231685,0.167695,0.139159,0.13625,0.136258,0.1955,0.195545,0.195591,0.274345,0.186767,0.168766,0.253015,0.224575,0.203221,0.180899,0.185781,0.195637,0.19969,0.0787422,0.0787846,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791284,0.167695,0.153427,0.0791284,0.170563,0.150163,0.139159,0.137705,0.137223,0.136254,0.195568,0.195523,0.195545,0.195614,0.13719,0.117721,0,5,0
8,6.94586E-11,0,-0.000157269,40,0,0,0.000157269,0,2.8172,2.4565,1.87844,1.47457,1.36461,1.36262,1.955,1.95545,1.95591,1.95637,0.787422,0.787846,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791284,1.09872,0,0.02,0,808,50,36.6034,81.2936,36.6034,53.4374,113.155,412.927,3520.46,4918.24,4949.27,4939.99,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810.03,4810.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83.8129,66.9026,254.88,0.5,0.426255,0.286601,0.085114,0.00214246,3.69146E-05,3.93079E-07,2.10519E-09,1.08522E-11,5.29172E-14,1.25899E-16,0,0,0,0,0,2.52881E-18,3.98123E-15,2.28488E-12,8.76264E-10,1.68817E-07,0.28172,0.24565,0.187844,0.147457,0.136461,0.136262,0.1955,0.195545,0.195591,0.28172,0.191767,0.172933,0.263685,0.238405,0.215668,0.189232,0.191337,0.195637,0.216747,0.0787422,0.0787846,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791284,0.187844,0.16765,0.0791284,0.171779,0.151109,0.147457,0.141959,0.14006,0.136361,0.195568,0.195523,0.195545,0.195614,0.13719,0.117721,0,5,0
