Time,CumDrainage,CumEvap,CumGlobalWaterBalance,CumNetRain,CumRunoff,CumTrans,CumWaterBalance,PondedWater,WMenge_1,WMenge_2,WMenge_3,WMenge_4,WMenge_5,WMenge_6,WMenge_7,WMenge_8,WMenge_9,WMenge10,WMenge11,WMenge12,WMenge13,WMenge14,WMenge15,WMenge16,WMenge17,WMenge18,WMenge19,WMenge20,WMenge21,act_evap,dt_int,Exfiltration,global_iter,n_int_timesteps,ProzNFK0_100,ProzNFK0_30,ProzNFK0_Weff,Psi_1,Psi_2,Psi_3,Psi_4,Psi_5,Psi_6,Psi_7,Psi_8,Psi_9,psi_dummy,Psi10,Psi11,Psi12,Psi13,Psi14,Psi15,Psi16,Psi17,Psi18,Psi19,Psi20,Psi21,red_evap,Sink_1,Sink_2,Sink_3,Sink_4,Sink_5,Sink_6,Sink_7,Sink_8,Sink_9,Sink10,Sink11,Sink12,Sink13,Sink14,Sink15,Sink16,Sink17,Sink18,Sink19,Sink20,Sink21,sumof_internaltimesteps,SumPavSoilWater,SumPAvSoilWaterRZ,SumSoilWater,WFlow_1,WFlow_2,WFlow_3,WFlow_4,WFlow_5,WFlow_6,WFlow_7,WFlow_8,WFlow_9,WFlow10,WFlow11,WFlow12,WFlow13,WFlow14,WFlow15,WFlow16,WFlow17,WFlow18,WFlow19,WFlow20,WFlow21,WG_1,WG_2,WG_3,WG_4,WG_5,WG_6,WG_7,WG_8,WG_9,WG0_10,WG0_100,WG0_120,WG0_20,WG0_30,WG0_40,WG0_60,WG0_90,WG10,WG10_30,WG11,WG12,WG13,WG14,WG15,WG16,WG17,WG18,WG19,WG20,WG20_30,WG20_40,WG21,WG30_100,WG30_120,WG30_40,WG30_50,WG30_60,WG40_60,WG60_100,WG60_80,WG60_90,WG80_100,WG90_110,WG90_120,Groundwaterdepth,NetRain,PotEvap
[d],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[mm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[mm/d],[d],[mm],[],[],[%],[%],[%],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[cm],[],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[],[mm],[mm],[mm],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm.d-1],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3.cm-3],[cm3/cm3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3.cm-3],[cm3/cm3],[cm3/cm3],[cm3.cm-3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],[cm3/cm3],,[mm],[mm]
0,0,0,0,0,0,0,0,0,1.08889,1.08937,1.08985,1.3613,1.36193,1.36257,1.955,1.95545,1.95591,1.95637,0.787422,0.787846,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791285,1.09872,0,0.001,0,0,0,14.7187,12.929,14.7187,5000,4990,4980,4970,4960,4950,4940,4930,4920,0,4910,4900,4890,4880,4870,4860,4850,4840,4830,4820,4810,4800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.8128,0.269025,214.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108889,0.108937,0.108985,0.13613,0.136193,0.136257,0.1955,0.195545,0.195591,0.108889,0.151767,0.139599,0.108913,0.108937,0.115735,0.122565,0.146892,0.195637,0.108961,0.0787422,0.0787846,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791285,0.108985,0.122557,0.109872,0.170122,0.14982,0.13613,0.136162,0.136193,0.136225,0.195568,0.195523,0.195545,0.195614,0.13719,0.117721,0,5,0
1,-1.07749E-12,0,-5.93805E-14,5,0,0,5.93805E-14,0,1.58716,1.0911,1.09225,1.35893,1.36202,1.37118,1.9463,1.95542,1.9559,1.9536,0.790202,0.787847,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791285,0.791285,0,0.0117422,0.89169,108,55,17.4391,21.772,17.4391,898.418,4954.16,4930.51,5007.43,4958.63,4817.37,5134.46,4930.79,4920.26,0,4970.61,4835.02,4889.98,4880,4870,4860,4850,4840,4830,4820,4809.99,4809.99,0.563279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,48.8128,31.8747,219.88,0.5,0.00172789,-2.14199E-06,-0.00240113,-3.36517E-05,-0.00012088,-0.00873302,-3.64289E-05,-7.18524E-08,1.16916E-05,0.00278103,9.71252E-07,2.29367E-10,8.92394E-14,4.95619E-14,5.00032E-14,4.94251E-14,4.94523E-14,-1.07749E-13,-4.33825E-10,-5.74348E-07,0.158716,0.10911,0.109225,0.135893,0.136202,0.137118,0.19463,0.195542,0.19559,0.158716,0.156739,0.143766,0.133913,0.125684,0.128236,0.131044,0.152447,0.19536,0.109168,0.0790202,0.0787847,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791285,0.109225,0.122559,0.0791285,0.170048,0.149793,0.135893,0.136048,0.136404,0.13666,0.195281,0.195086,0.195254,0.195475,0.13719,0.117722,0,5,0
2,-4.90083E-12,0,-7.2972E-14,10,0,0,7.29724E-14,0,2.07549,1.10277,1.09462,1.35667,1.36227,1.37927,1.93796,1.95532,1.95587,1.95086,0.792973,0.78785,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791285,0.791285,0,0.02,6.05313,208,50,20.1595,30.6144,20.1595,258.437,4720.5,4882.18,5043.52,4954.7,4696.72,5328.95,4933.04,4921.01,0,5031.39,4771.34,4889.91,4880,4870,4860,4850,4840,4830,4820,4809.99,4809.99,0.808235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,53.8128,36.8469,224.88,0.5,0.0116754,8.26964E-06,-0.00236298,-0.000100388,-0.000350843,-0.00844215,-0.000103462,-4.67699E-07,3.41188E-05,0.00277373,2.89593E-06,1.56035E-09,6.35648E-13,4.90902E-14,5.00069E-14,4.94271E-14,4.90826E-14,-3.82334E-13,-3.61733E-10,1.02916E-07,0.207549,0.110277,0.109462,0.135667,0.136227,0.137927,0.193796,0.195532,0.195587,0.207549,0.161711,0.147933,0.158913,0.142429,0.140739,0.139518,0.158003,0.195086,0.109869,0.0792973,0.078785,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791285,0.109462,0.122564,0.0791285,0.169975,0.149767,0.135667,0.135947,0.136607,0.137077,0.195,0.194664,0.194971,0.195336,0.137192,0.117723,0,5,0
3,-1.09722E-11,0,2.9839E-14,15,0,0,-2.9839E-14,0,2.53497,1.1432,1.09703,1.35451,1.36267,1.38687,1.92996,1.95515,1.95581,1.94815,0.795734,0.787855,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791285,0.791285,0,0.02,27.4518,308,50,22.8799,39.456,22.8799,96.1494,4008.12,4833.71,5078.24,4948.41,4586.84,5523.24,4936.61,4922.25,0,5092.34,4708.92,4889.8,4880,4870,4860,4850,4840,4830,4820,4809.99,4809.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,58.8128,41.8193,229.88,0.5,0.0405137,8.08764E-05,-0.00232612,-0.000167983,-0.000569697,-0.00816364,-0.000164361,-1.20204E-06,5.57917E-05,0.00276648,4.84792E-06,4.21224E-09,2.55231E-12,5.00618E-14,5.00085E-14,4.94271E-14,4.87812E-14,-6.07137E-13,-2.89763E-10,1.02916E-07,0.253497,0.11432,0.109703,0.135451,0.136267,0.138687,0.192996,0.195515,0.195581,0.253497,0.166683,0.152099,0.183909,0.159173,0.153243,0.147988,0.163558,0.194815,0.112011,0.0795734,0.0787855,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791285,0.109703,0.122577,0.0791285,0.169902,0.149741,0.135451,0.135859,0.136802,0.137477,0.194727,0.194256,0.194697,0.195198,0.137194,0.117725,0,5,0
4,-1.87837E-11,0,-3.14419E-14,20,0,0,3.14419E-14,0,2.92128,1.25651,1.0997,1.35246,1.36321,1.39399,1.92228,1.95493,1.95573,1.94547,0.798487,0.787862,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791285,0.791285,0,0.02,91.401,408,50,25.6004,48.2971,25.6004,42.6671,2608.22,4780.54,5111.56,4939.95,4486.66,5717.16,4941.37,4923.97,0,5153.46,4647.73,4889.63,4880,4870,4860,4850,4840,4830,4820,4809.99,4809.99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63.8128,46.7917,234.88,0.5,0.113697,0.000384797,-0.00229017,-0.000236237,-0.000777232,-0.00789714,-0.000219749,-2.2266E-06,7.67395E-05,0.0027593,6.82769E-06,8.20232E-09,6.74736E-12,5.31721E-14,5.00119E-14,4.94271E-14,4.83692E-14,-7.81153E-13,-2.17892E-10,1.02916E-07,0.292128,0.125651,0.10997,0.135246,0.136321,0.139399,0.192228,0.195493,0.195573,0.292128,0.171656,0.156266,0.208889,0.175916,0.165749,0.156453,0.169112,0.194547,0.117811,0.0798487,0.0787862,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791285,0.10997,0.122608,0.0791285,0.16983,0.149716,0.135246,0.135783,0.136989,0.13786,0.194461,0.193861,0.194432,0.19506,0.137198,0.117727,0,5,0
5,-2.7838E-11,0,-4.36543E-14,25,0,0,4.36543E-14,0,3.12726,1.54862,1.10386,1.35051,1.36388,1.40066,1.91491,1.95467,1.95563,1.94282,0.80123,0.787871,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791285,0.791285,0,0.02,182.985,508,50,28.3209,57.1375,28.3209,26.2748,1005.49,4699.23,5143.42,4929.53,4395.26,5910.52,4947.21,4926.17,0,5214.77,4587.74,4889.43,4880,4870,4860,4850,4840,4830,4820,4810,4810,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,68.8128,51.7642,239.88,0.5,0.294012,0.0019074,-0.00225338,-0.000304918,-0.000973294,-0.00764234,-0.000270165,-3.49821E-06,9.69846E-05,0.00275216,8.83517E-06,1.35479E-08,1.41396E-11,6.0232E-14,5.00216E-14,4.94276E-14,4.76522E-14,-9.05431E-13,-1.46122E-10,1.02916E-07,0.312726,0.154862,0.110386,0.135051,0.136388,0.140066,0.191491,0.195467,0.195563,0.312726,0.176628,0.160433,0.233794,0.192658,0.178256,0.164913,0.174667,0.194282,0.132624,0.080123,0.0787871,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791285,0.110386,0.122719,0.0791285,0.169758,0.149691,0.135051,0.135719,0.137168,0.138227,0.194201,0.193479,0.194174,0.194922,0.137202,0.117731,0,5,0
6,-3.76458E-11,0,1.54321E-14,30,0,0,-1.54312E-14,0,3.0642,2.10036,1.11739,1.34868,1.36467,1.4069,1.90783,1.95436,1.95551,1.94019,0.803964,0.787882,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791285,0.791285,0,0.01212,149.106,620,56,31.0415,65.977,31.0415,30.7222,244.202,4446.29,5173.56,4917.33,4311.77,6103.18,4954.03,4928.82,0,5276.27,4528.91,4889.17,4880,4870,4860,4850,4840,4830,4820,4810,4810,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,73.8128,56.7367,244.88,0.5,0.563066,0.0113232,-0.00220377,-0.000373596,-0.00115767,-0.0073991,-0.000316049,-4.97667E-06,0.00011653,0.00274507,1.08683E-05,2.0258E-08,2.5641E-11,7.25513E-14,4.9046E-14,4.94281E-14,4.70061E-14,-9.80773E-13,-7.4524E-11,1.02916E-07,0.30642,0.210036,0.111739,0.134868,0.136467,0.14069,0.190783,0.195436,0.195551,0.30642,0.181601,0.164599,0.258228,0.209398,0.190766,0.17337,0.180221,0.194019,0.160888,0.0803964,0.0787882,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791285,0.111739,0.123303,0.0791285,0.169687,0.149666,0.134868,0.135667,0.137341,0.138578,0.193947,0.193109,0.193923,0.194785,0.137208,0.117734,0,5,0
7,-4.77026E-11,0,-1.02699E-13,35,0,0,1.02701E-13,0,2.9802,2.63402,1.16979,1.34706,1.36556,1.41273,1.90102,1.95401,1.95537,1.93758,0.806689,0.787895,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791285,0.791285,0,0.0126586,112.621,730,55,33.7621,74.814,33.7621,37.3925,78.3498,3610.47,5200.42,4903.54,4235.47,6294.97,4961.75,4931.92,0,5337.95,4471.23,4888.87,4880,4870,4860,4850,4840,4830,4820,4810,4810,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,78.8128,61.7093,249.88,0.5,0.584002,0.0503374,-0.00206057,-0.000441143,-0.00133079,-0.00716655,-0.000357927,-6.6309E-06,0.000135439,0.00273802,1.29314E-05,2.8365E-08,4.2217E-11,9.53943E-14,4.87905E-14,4.83555E-14,4.51702E-14,-1.00568E-12,-2.94228E-12,1.02916E-07,0.29802,0.263402,0.116979,0.134706,0.136556,0.141273,0.190102,0.195401,0.195537,0.29802,0.186573,0.168766,0.280711,0.226134,0.203277,0.181823,0.185775,0.193758,0.190191,0.0806689,0.0787895,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791285,0.116979,0.125842,0.0791285,0.169619,0.149643,0.134706,0.135631,0.137512,0.138915,0.193699,0.192751,0.19368,0.194648,0.137214,0.117739,0,5,0
8,-5.75136E-11,0,-1.19835E-14,40,0,0,1.19826E-14,0,3.03552,2.9402,1.30967,1.34617,1.36655,1.41819,1.89447,1.95362,1.9552,1.93501,0.809405,0.78791,0.788272,0.788699,0.789127,0.789557,0.789987,0.790419,0.790851,0.791285,0.791285,0,0.02,134.053,830,50,36.4827,83.6391,36.4827,32.8966,40.9144,2159.98,5215.14,4888.22,4165.67,6485.79,4970.29,4935.46,0,5399.82,4414.67,4888.52,4880,4870,4860,4850,4840,4830,4820,4810,4810,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,83.8128,66.682,254.88,0.5,0.444674,0.1385,-0.00138454,-0.000500946,-0.00149258,-0.00694443,-0.000396154,-8.43015E-06,0.00015372,0.00273099,1.50234E-05,3.78874E-08,6.48297E-11,1.32186E-13,4.91178E-14,4.89203E-14,4.49993E-14,-9.81094E-13,6.85884E-11,1.02915E-07,0.303552,0.29402,0.130967,0.134617,0.136655,0.141819,0.189447,0.195362,0.19552,0.303552,0.191546,0.172933,0.298786,0.242846,0.215789,0.190272,0.191329,0.193501,0.212494,0.0809405,0.078791,0.0788272,0.0788699,0.0789127,0.0789557,0.0789987,0.0790419,0.0790851,0.0791285,0.130967,0.132792,0.0791285,0.16956,0.149628,0.134617,0.135636,0.137697,0.139237,0.193458,0.192405,0.193443,0.194511,0.137221,0.117744,0,5,0
