Time	Temp
[]	[°C]
0	11.99
1	10.67
2	14.66
3	17.62
4	19.56
5	15.93
6	16.82
7	11.58
8	18.92
9	18.17
10	14.94
11	15.19
12	13.68
13	14.32
14	14.93
15	15.68
16	11.79
17	12.62
18	16.06
19	12.34
20	15.31
21	15.76
22	15.69
23	18.07
24	19.58
25	14.08
26	16.51
27	12.03
28	17.22
29	13.35
30	11.03
31	19.79
32	14.10
33	15.23
34	10.58
35	19.14
36	19.98
37	15.81
38	17.64
39	16.61
40	14.92
41	17.69
42	16.22
43	12.80
44	13.00
45	18.12
46	19.42
47	10.36
48	13.19
49	10.73
50	15.52
51	17.34
52	12.61
53	13.08
54	14.10
55	10.66
56	18.68
57	14.25
58	13.30
59	12.85
60	10.50
61	10.70
62	16.50
63	13.70
64	19.51
65	13.79
66	19.65
67	16.58
68	15.14
69	10.25
70	17.08
71	17.81
72	14.68
73	17.80
74	10.89
75	15.26
76	12.18
77	15.59
78	15.65
79	17.31
80	17.84
81	14.61
82	19.31
83	12.48
84	11.51
85	17.44
86	10.40
87	14.44
88	12.23
89	11.66
90	11.10
91	13.78
92	15.20
93	14.91
94	17.78
95	14.69
96	17.25
97	18.44
98	17.74
99	18.29
100	17.27
