Time	WG30_50	WG60_80	WG90_110
[d]	[cm?/cm?]	[cm?/cm?]	[cm?/cm?]
39041	0.07	0.106666667	.
39041	0.086666667	0.07	.
39041	0.283333333	0.233333333	.
39126	.	.	.
39126	.	.	.
39126	.	.	.
39126	.	.	.
39133	.	.	.
39133	.	.	.
39133	.	.	.
39133	.	.	.
39147	.	.	.
39147	.	.	.
39147	.	.	.
39147	.	.	.
39149	0.18	0.17	.
39149	0.15	0.106666667	.
39149	0.24	0.226666667	.
39161	.	.	.
39161	.	.	.
39161	.	.	.
39161	.	.	.
39163	.	.	.
39163	.	.	.
39163	.	.	.
39163	.	.	.
39177	.	.	.
39177	.	.	.
39177	.	.	.
39177	.	.	.
39190	.	.	.
39190	.	.	.
39190	.	.	.
39190	.	.	.
39204	0.175	0.134	0.173
39204	0.181	0.09	0.116
39204	0.07	0.073	0.111
39204	0.145	0.262	0.318
39218	0.218	0.13	0.167
39218	0.205	0.113	0.111
39218	0.103	0.072	0.109
39218	0.163	0.263	0.295
39225	.	.	.
39225	.	.	.
39225	.	.	.
39225	.	.	.
39232	0.279	.	0.173
39232	0.271	0.09	0.128
39232	0.145	0.09	0.117
39232	0.208	0.271	0.282
39246	0.18	0.133	0.167
39246	0.187	0.074	0.124
39246	0.083	0.097	0.125
39246	0.142	0.257	0.259
39260	0.286	0.173	0.177
39260	0.346	0.127	0.139
39260	.	.	.
39260	0.298	0.293	0.259
39275	0.27	0.175	0.203
39275	0.314	0.134	0.146
39275	0.198	0.152	0.118
39275	0.28	0.303	0.361
39288	0.268	0.173	0.221
39288	0.321	0.078	0.146
39288	0.188	0.103	0.139
39288	0.284	0.307	0.378
39302	0.202	0.176	0.25
39302	0.215	0.066	0.181
39302	0.103	0.103	0.171
39302	0.174	0.293	0.41
39316	0.234	0.169	0.243
39316	0.251	0.084	0.161
39316	0.134	0.103	0.154
39316	0.192	0.29	0.411
39329	0.247	0.174	0.247
39329	0.272	0.09	0.156
39329	0.163	0.1	0.149
39329	0.226	0.293	0.416
39343	0.154	0.224	0.213
39343	0.119	0.24	0.136
39343	0.125	0.096	0.137
39343	0.195	0.283	0.416
39350	.	.	.
39350	.	.	.
39350	.	.	.
39350	.	.	.
39363	0.12373511	0.168031926	.
39363	0.128032516	0.077181699	.
39363	0.089569601	0.077083668	.
39363	0.229099157	0.280637813	.
39371	0.218	0.164	0.236
39371	0.233	0.123	0.148
39371	0.112	0.1	0.142
39371	0.208	0.302	0.411
39393	0.283	0.159	0.214
39393	0.285	0.13	0.136
39393	0.194	0.104	0.131
39393	0.265	0.302	0.384
39406	0.126591622	0.152407343	.
39406	0.122074346	0.144314399	.
39406	0.108643744	0.093463846	.
39406	0.216870386	0.204352926	.
39406	0.264	0.211	0.292
39406	0.265	0.134	0.202
39406	0.145	0.111	0.193
39406	0.264	0.322	0.427
39419	0.313	0.267	0.345
39419	0.324	0.141	0.275
39419	0.213	0.132	0.228
39419	0.32	0.338	0.42
39433	0.285	0.419	0.463
39433	0.297	0.323	0.493
39433	0.137	0.182	0.446
39433	0.384	0.463	0.437
39436	0.177144858	0.280842391	.
39436	0.2174375	0.163015394	.
39436	0.214856162	0.267772636	.
39436	0.181544666	0.236740763	.
39445	0.262	0.32	0.449
39445	0.264	0.185	0.49
39445	0.127	0.113	0.322
39445	0.287	0.386	0.435
39462	0.266	0.272	0.396
39462	0.261	0.171	0.312
39462	0.155	0.114	0.267
39462	0.268	0.356	0.433
39476	0.304	0.375	0.4509
39476	0.31	0.323	0.45
39476	0.171	0.22	0.412
39476	0.341	0.418	0.44
39492	0.147737765	0.177342738	.
39492	0.149543002	0.218774244	.
39492	0.233236755	0.094051784	.
39492	0.253496838	0.260153201	.
39496	0.274	0.271	0.401
39496	0.255	0.274	0.318
39496	.	.	.
39496	.	.	.
39503	0.149543002	0.218774244	.
39512	0.294	0.338	0.432
39512	0.287	0.23	0.439
39512	0.166	0.135	0.349
39512	0.306	0.382	0.439
39528	0.277	0.261	0.334
39528	0.229	0.165	0.336
39528	0.127	0.095	0.184
39528	0.235	0.302	0.355
39541	0.16119403	0.15639528	.
39541	0.211273857	0.167718298	.
39541	0.115387606	0.088094478	.
39541	0.232492079	0.229213891	.
39567	0.156	0.162	0.225
39567	0.091	0.093	0.235
39567	0.138	0.08	0.106
39567	0.125	0.254	0.286
39589	0.139	0.137	0.204
39589	0.057	0.087	0.191
39589	0.11	0.075	0.1
39589	0.151	0.245	0.261
39608	0.128	.	0.196
39608	0.091	0.096	0.164
39608	0.093	0.078	0.11
39608	0.134	0.258	0.274
39616	0.124	0.138	0.193
39616	0.095	0.093	0.159
39616	0.084	0.079	0.108
39616	0.126	0.254	0.256
39638	0.164	0.143	0.213
39638	0.109	0.084	0.153
39638	0.137	0.084	0.114
39638	0.272	0.246	0.221
39650	0.276	0.174	0.194
39650	0.32	0.082	0.15
39650	.	.	.
39650	.	.	.
39664	0.142	0.153	0.217
39664	0.104	0.093	0.16
39664	0.088	0.091	0.114
39664	0.213	0.24	0.22
39678	0.048	0.154	0.209
39678	0.128	0.093	0.155
39678	0.143	0.088	0.112
39678	0.181	0.256	0.22
39692	0.063	0.166	0.229
39692	0.167	0.105	0.193
39692	.	.	.
39692	.	.	.
39699	.	.	.
39699	.	.	.
39699	0.163	0.09	0.114
39699	0.211	0.279	0.284
39706	0.062	0.159	0.214
39706	0.148	0.103	0.181
39706	0.149	0.091	0.112
39706	0.191	0.276	0.277
39716	0.062	0.154	0.108
39716	0.144	0.101	0.175
39716	0.145	0.088	0.108
39716	0.185	0.272	0.267
39726	.	.	.
39726	.	.	.
39726	.	.	.
39726	.	.	.
39737	0.137011973	0.136944542	.
39737	0.162561576	0.088859269	.
39737	0.072154009	0.074159907	.
39737	0.23775946	0.30929368	.
39748	0.188	.	0.265
39748	0.217	0.098	0.226
39748	0.189	0.084	0.098
39748	0.254	0.265	0.323
39764	0.235	0.22	0.248
39764	0.202	0.1	0.226
39764	0.185	0.084	0.096
39764	0.274	0.263	0.325
39776	0.114352392	0.195779394	.
39776	0.1617817	0.167758847	.
39776	0.162241455	0.082351348	.
39776	0.272550292	0.281089221	.
39780	0.068	0.236	0.314
39780	0.147	0.145	0.356
39780	0.165	0.081	0.124
39780	0.233	0.278	0.35
39790	0.084	0.215	0.303
39790	0.181	0.118	0.354
39790	0.18	0.08	0.111
39790	0.228	0.275	0.375
39797	0.069	0.202	0.296
39797	0.141	0.103	0.316
39797	0.16	0.084	0.101
39797	0.215	0.271	0.372
39820	0.061	0.171	0.241
39820	0.088	0.089	0.234
39820	0.12	0.078	0.095
39820	0.193	0.258	0.354
39821	0.135435235	0.129401907	.
39821	0.066481885	0.064688461	.
39821	0.18184352	0.350609478	.
39821	0.103251149	0.064130737	.
39834	0.075	0.184	0.25
39834	0.153	0.098	0.247
39834	0.181	0.093	0.118
39834	0.243	0.261	0.327
39876	0.072	0.207	0.291
39876	0.132	0.113	0.269
39876	0.165	0.089	0.109
39876	0.229	0.269	0.339
39882	0.125674728	0.152399524	.
39882	0.102245971	.	.
39882	0.181995395	0.18115336	.
39882	0.106788618	0.129937022	.
