													Vol%	Vol%	Vol%	Vol%
Erntejahr	VN	Standort	Reihe	Spalte	Fruchtfolge	FF-Glied	N-Form	N-Menge	Block	Aufwuchs	Methode	Datum	WAS 0-30 /5-25	WAS 30-60 / 30-50	WAS 60-90 / 60-80	WAS 90-110
2007	112	2	1	5	1	1	1	2	1	1	grav	20.11.2006	0.276666667	0.18	0.25	.
2007	112	2	1	6	4	1	1	2	1	1	grav	20.11.2006	0.253333333	0.143333333	0.22	.
2007	112	2	2	1	1	1	3	4	1	1	grav	20.11.2006	0.24	0.19	0.21	.
2007	112	2	2	2	4	1	4	2	1	1	grav	20.11.2006	0.286666667	0.176666667	0.25	.
2007	112	2	3	2	1	1	1	3	1	1	grav	20.11.2006	0.306666667	0.19	0.233333333	.
2007	112	2	3	5	4	1	2	4	1	1	grav	20.11.2006	0.303333333	0.18	0.196666667	.
2007	112	2	4	3	4	1	1	1	1	1	grav	20.11.2006	0.29	0.153333333	0.15	.
2007	112	2	4	6	1	1	4	3	1	1	grav	20.11.2006	0.3	0.11	0.113333333	.
2007	112	2	5	3	1	1	2	3	2	1	grav	20.11.2006	0.26	0.11	0.133333333	.
2007	112	2	5	6	4	1	2	4	2	1	grav	20.11.2006	0.266666667	0.083333333	0.186666667	.
2007	112	2	6	3	4	1	4	4	2	1	grav	20.11.2006	0.256666667	0.086666667	0.14	.
2007	112	2	6	6	1	1	4	4	2	1	grav	20.11.2006	0.293333333	0.136666667	0.136666667	.
2007	112	2	7	1	4	1	2	2	2	1	grav	20.11.2006	0.263333333	0.066666667	0.086666667	.
2007	112	2	7	4	1	1	1	1	2	1	grav	20.11.2006	0.256666667	0.07	0.106666667	.
2007	112	2	8	1	1	1	4	3	2	1	grav	20.11.2006	0.266666667	0.096666667	0.1	.
2007	112	2	8	4	4	1	4	3	2	1	grav	20.11.2006	0.25	0.083333333	0.156666667	.
2007	112	2	9	2	4	1	5	4	3	1	grav	20.11.2006	0.253333333	0.08	0.12	.
2007	112	2	9	4	1	1	5	4	3	1	grav	20.11.2006	0.25	0.073333333	0.17	.
2007	112	2	10	2	1	1	1	3	3	1	grav	20.11.2006	0.266666667	0.09	0.113333333	.
2007	112	2	10	5	4	1	2	4	3	1	grav	20.11.2006	0.293333333	0.136666667	0.103333333	.
2007	112	2	11	5	1	1	4	3	3	1	grav	20.11.2006	0.306666667	0.1	0.113333333	.
2007	112	2	11	6	4	1	4	3	3	1	grav	20.11.2006	0.296666667	0.226666667	0.126666667	.
