TAG;Datum;ZEIT;RAIN;GLOBRAD;Rn;Tempera;LFrel;U;WINDRICHTU;pETP;Mod;Diff
1;01.01.1995;0;0;-0.066;-44.68;2.575;95.9;4.642;240.5;-0.02;-19.04158;25.63842
1;01.01.1995;100;0.199;-0.017;-23.12;2.782;96.5;4.233;241.6;-0.01;-19.01071;4.10929
1;01.01.1995;200;0.199;-0.022;-8.75;3.164;94.6;4.349;241.4;0.01;-19.01386;10.26386
1;01.01.1995;300;0;-0.011;-9.26;3.293;91.6;4.878;255.1;0.02;-19.00693;9.74693
1;01.01.1995;400;0;-0.011;-19.68;2.726;93.9;4.379;253.7;0;-19.00693;0.67307
1;01.01.1995;500;0;-0.011;-26.43;2.579;92.4;4.518;255.1;0;-19.00693;7.42307
1;01.01.1995;600;0;0.017;-34.46;2.241;92.7;4.091;246;0;-18.98929;15.47071
1;01.01.1995;700;0.199;0;-32.34;2.337;89.8;5.026;259.2;0.01;-19;13.34
1;01.01.1995;800;0;0.017;-9.45;2.338;88.4;6.205;275.4;0.04;-18.98929;9.53929
1;01.01.1995;900;0;3.236;-8.13;1.972;91.9;5.114;266.6;0.02;-16.96132;8.83132
1;01.01.1995;1000;0;43.89;-7.35;2.021;85.4;6.243;269;0.05;8.6507;16.0007
1;01.01.1995;1100;0;101.1;25.62;2.099;82.8;5.849;260;0.07;44.693;19.073
1;01.01.1995;1200;0;116.9;50.19;2.383;78.6;6.648;260.5;0.11;54.647;4.457
1;01.01.1995;1300;0;154;70.1;2.413;73.8;7.08;260.6;0.15;78.02;7.92
1;01.01.1995;1400;0;197.8;106.5;2.843;67.33;7.27;263.5;0.21;105.614;0.886
1;01.01.1995;1500;0;53.22;17.7;2.078;71.4;6.454;250.6;0.12;14.5286;3.1714
1;01.01.1995;1600;0;13.93;-5.609;1.286;79.5;6.806;241.2;0.07;-10.2241;4.6151
1;01.01.1995;1700;0;1.211;-10.44;0.38;91.2;6.27;237.8;0.02;-18.23707;7.79707
1;01.01.1995;1800;0;0;-24.89;-0.247;100.2;5.676;232.9;-0.01;-19;5.89
1;01.01.1995;1900;0;0.011;-29.67;0.023;90.9;6.387;231.7;0.01;-18.99307;10.67693
1;01.01.1995;2000;0;0.006;-7.47;0.277;88.9;7.44;230.9;0.04;-18.99622;11.52622
1;01.01.1995;2100;0;0;-7.46;-0.795;102.8;6.828;226.2;-0.01;-19;11.54
1;01.01.1995;2200;0;0;-9.65;-0.529;101.7;6.731;222.3;-0.01;-19;9.35
1;01.01.1995;2300;0;0;-2.51;-0.25;103.9;7.29;240.1;-0.02;-19;16.49
2;02.01.1995;0;0;0;-9.51;0.252;101.8;8.23;282.8;-0.01;-19;9.49
2;02.01.1995;100;0;0;-12.91;0.855;94.2;6.458;268.3;0.01;-19;6.09
2;02.01.1995;200;0.398;0;-8.97;1.376;92.8;7.85;268.4;0.03;-19;10.03
2;02.01.1995;300;0.398;0;-36.65;1.664;88.8;8.21;263.8;0.03;-19;17.65
2;02.01.1995;400;0.398;0;-22.17;1.942;87.6;8.25;265;0.04;-19;3.17
2;02.01.1995;500;0;0;-25.02;1.717;89.2;7.21;267.5;0.03;-19;6.02
2;02.01.1995;600;0.199;0.006;-11.08;1.637;90.5;7.15;256.3;0.03;-18.99622;7.91622
2;02.01.1995;700;0.398;0;-5.552;1.038;96;6.986;269.1;0.01;-19;13.448
2;02.01.1995;800;0.199;0.006;-5.195;0.158;101.7;6.457;285;-0.01;-18.99622;13.80122
2;02.01.1995;900;0;4.316;-15.31;0.195;102.4;6.412;289.2;-0.02;-16.28092;0.97092
2;02.01.1995;1000;0.199;33.87;-9.71;0.025;93.3;6.754;306.9;0.02;2.3381;12.0481
2;02.01.1995;1100;0;91.8;7.97;-0.261;85.8;5.155;303.6;0.04;38.834;30.864
2;02.01.1995;1200;0;132.2;15.41;-0.02;85.9;5.326;296.7;0.05;64.286;48.876
2;02.01.1995;1300;0;63.92;4.997;0.208;83.5;5.788;293.2;0.05;21.2696;16.2726
2;02.01.1995;1400;0;102.5;17.11;0.364;81.9;6.745;310.3;0.08;45.575;28.465
2;02.01.1995;1500;0;71.9;6.997;0.21;81.7;6.432;309.5;0.07;26.297;19.3
2;02.01.1995;1600;0;20.08;-9.03;0.022;85.5;5.577;314.1;0.04;-6.3496;2.6804
2;02.01.1995;1700;0;1.552;-11.35;-0.225;86.7;5.14;315.1;0.03;-18.02224;6.67224
2;02.01.1995;1800;0;0;-7.04;-0.284;87.5;5.371;311.1;0.03;-19;11.96
2;02.01.1995;1900;0;0;-8.38;-0.405;86.7;5.618;314.9;0.03;-19;10.62
2;02.01.1995;2000;0;0;-6.954;-0.477;87.6;5.58;315.3;0.03;-19;12.046
2;02.01.1995;2100;0;0;-7.36;-0.59;88.3;5.295;307.5;0.03;-19;11.64
2;02.01.1995;2200;0;0;-5.633;-0.524;88.5;4.44;314.4;0.02;-19;13.367
2;02.01.1995;2300;0;0;-12.78;-0.705;90;4.528;317.1;0.02;-19;6.22
3;03.01.1995;0;0;0;-33.92;-1.391;92.4;4.07;310.3;0;-19;14.92
