SubModel;EntityType;EntityName;Units;Value;Option;Comment
Development1;State;cumvern;;0;NA;cumulative vernalisation
Development1;State;DaySSow;n;0;NA;days since sowing
Development1;State;ec;;0;NA;EC stage
Development1;State;inl_MS;n;5;NA;initial leaf number on main stem
Development1;State;nl_MS;n;0;NA;number of leaves on main stem
Development1;State;tdu;;0;NA;thermal developmental units
Development1;State;TSum_until_EC_30;;0;NA;
Development1;State;TSum_until_EC_37;;0;NA;
Development1;State;TSumEC30;;0;NA;Temperature sum since EC30
Development1;State;tsums;;0;NA;temperature sum since sowing
Development1;State;xstage;;0;NA;non integer growth stage indicator ranging from zero to six
Development1;Parameter;fdl;-;0;NA;
Development1;Parameter;Ini_inLMS;n;4;NA;
Development1;Parameter;Internode;;3;NA;Multiplikator des Phyllochronintervalls in der Schossphase
Development1;Parameter;MaxPhotoperiod;h;20;NA;maximum daylength which increase developmental rate
Development1;Parameter;MaxVernDays;d;50;NA;maximum number of vernalisation days which increase developmental rate
Development1;Parameter;minLeaf_number;;7;NA;
Development1;Parameter;p1d;;2.76;NA;genetic specific parameter of photoperiod sensitivity
Development1;Parameter;p1v;;2.84;NA;genetic specific parameter of vernalisation sensitivity
Development1;Parameter;p3;°Cd;183.48;NA;
Development1;Parameter;p4;°Cd;200;NA;thermal time between Pre-anthesis ear growth to beginning of grain filling (anthesis occurs during this phase)in°Cd
Development1;Parameter;p5;-;11.67;NA;thermal time between beginning of grain fill and maturity in°Cd
Development1;Parameter;p9;°Cd;139.9;NA;thermal timen from germination to seedling emergence in °Cd
Development1;Parameter;Ph39;-;101.56;NA;TSUM 37 bis 39
Development1;Parameter;phint;°Cd;91.74;NA;the phyllochron interval, the interval in thermal time(degree days) between successive leaf and tiller appearances
Development1;Parameter;plastochron;°Cd;68.3914;NA;interval in thermal time between leaf initiation
Development1;Parameter;sdepth;cm;3;NA;sowing depth (cm), not actual in use
Development1;Parameter;sowingdate;doy;300;NA;
Development1;Parameter;tBase;;0;NA;base temperature
Development1;Parameter;TSumInternode;°Cd;97.09;NA;te´mperature sumd between two internodes
Development1;Parameter;VernMaxTemp;°C;18;NA;temperature where vernalisation is getting zero
Development1;Parameter;VernMinTemp;°C;-0.5;NA;minimum vernalisation temperature
Development1;Parameter;VernOptTemp1;°C;0.5;NA;temperature where vernalisation is starting to be optimal
Development1;Parameter;VernOptTemp2;°C;6;NA;temperature where vernalisation is ending to be optimal
Development1;Parameter;xstage_fin_leaf_prim;-;1.78171;NA;xstage an dem keine weiteren leaf primordien angelegt werden
Development1;ExtVar;daylengthp;;0;NA;photoperiodic daylength
Development1;ExtVar;dayofyear;;0;NA;
Development1;ExtVar;TMPM;;0;NA;mean air temperature
Development1;Variable;c;;0;NA;variable photoperiodic influence factor (0..1)
Development1;Variable;d10;;0;NA;Day when EC equals 10
Development1;Variable;d29;;0;NA;Day when EC equals 29
Development1;Variable;d50;;0;NA;Day when EC equals 50
Development1;Variable;d59;[DOY];0;NA;Day when EC equals 59
Development1;Variable;d75;;0;NA;Day when EC equals 75
Development1;Variable;d90;;0;NA;Day when EC equals 90
Development1;Variable;DayOfYearSowingDate;[DOY];0;NA;Dayof Year of sowingdate
Development1;Variable;devrates1;;0;NA;developmet rate during istage 1
Development1;Variable;devrates2;;0;NA;developmet rate during istage 2
Development1;Variable;devrates3;;0;NA;developmet rate during istage 3
Development1;Variable;devrates4;;0;NA;developmet rate during istage 4
Development1;Variable;devrates5;;0;NA;developmet rate during istage 5
Development1;Variable;devrates6;;0;NA;developmet rate during istage 6
Development1;Variable;devrates9;;0;NA;developmet rate during istage 9
Development1;Variable;DOY_BegFlower;[DOY];0;NA;DOY for begin of flowering
Development1;Variable;DOY_BegHeading;[DOY];0;NA;DOY for begin heading
Development1;Variable;DOY_BegStemElong;[DOY];0;NA;DOY for begin stem elongation
Development1;Variable;DOY_EndHeading;[DOY];0;NA;DOY for end heading
Development1;Variable;DOY_PhysRipe;[DOY];0;NA;DOY for physiological ripeness
Development1;Variable;DOY_YellowRipeness;[DOY];0;NA;DOY for yellow ripeness
Development1;Variable;dvs10;;0;NA;xstage times 10, for convenience of plotting
Development1;Variable;ECa;;0;NA;
Development1;Variable;GS_EC25;;0;NA;
Development1;Variable;inl_MS_xstage2;;0;NA;Anzahl nicht ausgebildeter Blätter zum Zeitpunkt Xstage 2
Development1;Variable;istage;;0;NA; Phenologicalstages in integer values
Development1;Variable;k_v;;0;NA;vernalisation variable
Development1;Variable;ph39_opt;[°Cd];0;NA;a function of phint and day length
Development1;Variable;rdr_p;;0;NA;relative development rate of photoperiod
Development1;Variable;rdr_v;;0;NA;relative development rate of vernalization
Development1;Variable;tempsumemergence;;0;NA;
Development1;Variable;TSEC32;;0;NA;Date of BBCH32 (needed for calibration
Development1;Variable;TSEC33;;0;NA;Date of BBCH33 (needed for calibration
Development1;Variable;TSEC37;;0;NA;Date of BBCH37 (needed for calibration
Development1;Variable;TSEC38;;0;NA;Date of BBCH38 (needed for calibration
Development1;Variable;TSEC57;;0;NA;Date of BBCH57 (needed for calibration
Development1;Variable;TSEC59;;0;NA;Date of BBCH59 (needed for calibration
Development1;Variable;TSEC61;;0;NA;Date of BBCH61 (needed for calibration
Development1;Variable;TSEC65;;0;NA;Date of BBCH65 (needed for calibration
