IniFile;Submodel;EntityType;EntityName;Units;Value;Option;Comment
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;State;CumPH;[n];1;NA;number of fully expanded leaves
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;State;CumPH_Booting;[n];0;NA;number of nodes
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;State;DS;[-];0;NA;Development stage for calculating root drymatter (See Hybrid-Maize)
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;State;GDD6;[°C*d];0;NA;Growing degree days from sowing
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;State;GDD6_from_emergence;[°C*d];0;NA;growing degree days from emergence
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;State;GDD8;[°C*d];0;NA;Just for Information, not for calculation.
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;State;TLNO;[n];6;NA;TLNO is the total number of leaves that will eventually appear
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;State;TSum_leafLagphase;;277.7676436;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;State;XSTAGE;[-];0;NA;Phenological stage, non integer values
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;State;XSTAGE_till_tassel_emergence;[-];0;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Variable;BBCH;;0;NA;BBCH stage
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Variable;DevRateS0;[1/(°Cd)];0;NA;Development rate during IStage 0 (from sowing to emergence, 0 to 1)
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Variable;DevRateS1;[1/(°Cd)];0;NA;development rate during IStage 1 (from emergence to tassel initiation, 1-2)
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Variable;DevRateS2;[1/(°Cd)];0;NA;Development rate during ISTAGE 2 (from tassel initiation to silking, 2-3)
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Variable;DevRateS3;[1/(°Cd)];0;NA;Development rate during ISTAGE 3 (from silking to effective grain filling, 3-4)
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Variable;DevRateS4;[1/(°Cd)];0;NA;Development rate during ISTAGE 4 (from effective grain filling to physiological maturity, 4-5)
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Variable;integerXN;;0;NA;leaf nummber of the oldest expending leaf; integer from CumPh
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Variable;ISTAGE;;0;NA;nteger growth stage indicator ranging from zero to five [0..5]
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Variable;PC;;0;NA;Intermediate variable
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Variable;Sen_fact;;0;NA;Seneszenzfaktor
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Variable;Teff6;[°C];0;NA;effective daily air temperature
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Variable;Teff8;[°C];0;NA;Just for Information, not for calculation.
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Variable;TI;[°C];0;NA;Daily increase in leaf number
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Parameter;GDD6Emergence;[°C*d];100;NA;Temperature sum sowing to emergence
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Parameter;GDD6Silking;[°C*d];830;NA;Temperature sum silking
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Parameter;GDD6Stage2;[°C*d];510;NA;Temperature sum tassel initiation till silking
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Parameter;GDD6Stage3;[°C*d];200;NA;Temperature sum stage 3
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Parameter;GDD6tasini;[°C*d];320;NA;Temperature sum from emergence till tassel initiation
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Parameter;GDD6total;[°C*d];1890;NA;Temperature sum
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Parameter;Phyllochron;[°C*d];50.8;NA; Phyllochron
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Parameter;Plastochron;[°C*d];28.1287;NA;Plastochron
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Parameter;sen_par;[-];0.0001325;NA;en_fact wird als potenz Funktion angenommen, sen_par ist der Krümmungsfaktor dieser
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Parameter;sen_parexp;[-];2;NA;en_fact wird als potenz Funktion angenommen, sen_parexp ist der Exponent dieser
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Parameter;SowingDate;[-];39192;NA;Date of sowing (days from 1.1.1990)
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Parameter;Tbase6;[°C];6;NA;Base temperature
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;ExternalValue;TMPM;[Grad;NA;Q:\MAIZE\Wetter\V112_TMPM\Wetter_KD_06_09.txt;Air temperature in 2 m height
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Option;ContOutput; NA;NA;true;Output every time step?
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;subDevelopment_Maize1;Option;FinalOutput; NA;NA;false;Output of final values in separate file?
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;State;cumPAR_Trans_days;;0;NA;
Q:\MAIZE\INI\MAIZE3_V112\2007\IniFN\MAIZE3_V112_2007_KD_1_0.ini;sublightint_growth_Maize1;State;pot_Trans_GlobRad;;0;NA;
