SubModel;EntityType;EntityName;Units;Value;Option;Comment;;
GrowthCurvePlant1;State;C_Residues;[gC/m2];0;NA;Amount of carbon in crop residues;;
GrowthCurvePlant1;State;DM;[g/m2];0;NA;if Opt = LogIntBased then Capacity: ASYM; gr: XMID; rgr: SCAL (SSLogisR)
GrowthCurvePlant1;State;DMfineroot;[g.m-2];0;NA;Total fine root dry matter in crop;;
GrowthCurvePlant1;State;DMtotal;[g.m-2];0;NA;Total aboveground dry matter in crop;;
GrowthCurvePlant1;State;Height;[m];0;NA;;;
GrowthCurvePlant1;State;LAI;[-];0;NA;;;
GrowthCurvePlant1;State;N_Residues;[gN/m2];0;NA;Amount of nitrogen in crop residues;;
GrowthCurvePlant1;State;ShootN;[gN/m2];0;NA;if Opt = LogIntBased then Capacity: ASYM; gr: XMID; rgr: SCAL (SSLogisR)
GrowthCurvePlant1;State;TSum;[°Cd];0;NA;Temperature sum for growth, starting at sowing date corrected for base temperature;;
GrowthCurvePlant1;State;TSum_DM;[°Cd];0;NA;Temperature sum for dry matter;;
GrowthCurvePlant1;Parameter;C_cont_Res;[-];0.45;NA;C content residues;;
GrowthCurvePlant1;Parameter;DM_BaseTemp;[°C];0;NA;;;
GrowthCurvePlant1;Parameter;DM_Capacity;[];0;NA;;;
GrowthCurvePlant1;Parameter;DM_gr;[];0;NA;;;
GrowthCurvePlant1;Parameter;DM_IniValue;[];0;NA;;;
GrowthCurvePlant1;Parameter;DM_rgr;[1/d];0;NA;;;
GrowthCurvePlant1;Parameter;DM_Richards_f;[];0;NA;;;
GrowthCurvePlant1;Parameter;HarvestDate;[];1000000;NA;;;
GrowthCurvePlant1;Parameter;Harvestindex;[-];0.5;NA;Harvest index;;
GrowthCurvePlant1;Parameter;Height_BaseTemp;[°C];0;NA;;;
GrowthCurvePlant1;Parameter;Height_Capacity;[];0;NA;;;
GrowthCurvePlant1;Parameter;Height_gr;[];0;NA;;;
GrowthCurvePlant1;Parameter;Height_IniValue;[];0;NA;;;
GrowthCurvePlant1;Parameter;Height_rgr;[1/d];0;NA;;;
GrowthCurvePlant1;Parameter;Height_Richards_f;[];0;NA;;;
GrowthCurvePlant1;Parameter;LAI_BaseTemp;[°C];0;NA;;;
GrowthCurvePlant1;Parameter;LAI_Capacity;[];0;NA;;;
GrowthCurvePlant1;Parameter;LAI_gr;[];0;NA;;;
GrowthCurvePlant1;Parameter;LAI_IniValue;[];0;NA;;;
GrowthCurvePlant1;Parameter;LAI_rgr;[1/d];0;NA;;;
GrowthCurvePlant1;Parameter;LAI_Richards_f;[];0;NA;;;
GrowthCurvePlant1;Parameter;N_Harvestindex;[-];0.5;NA;N harvest index;;
GrowthCurvePlant1;Parameter;Par_ExtCoeffPAR;[-];0.675;NA;Extinction coefficient for PAR (only valid if EvapotranspirationModel uses Option Opt_Exk_Glob = fromPlantModel);;
GrowthCurvePlant1;Parameter;Par_Psi2;[cm];200;NA;water potential at which water uptake by the plant starts to decrease;;
GrowthCurvePlant1;Parameter;Par_rc0;[s.m-1];50;NA;Canopy resistance at potential transpiration;;
GrowthCurvePlant1;Parameter;Par_Weff;[cm];100;NA;effective rooting depth;;
GrowthCurvePlant1;Parameter;ShootN_BaseTemp;[°C];0;NA;;;
GrowthCurvePlant1;Parameter;ShootN_Capacity;[];0;NA;;;
GrowthCurvePlant1;Parameter;ShootN_gr;[];0;NA;;;
GrowthCurvePlant1;Parameter;ShootN_IniValue;[];0;NA;;;
GrowthCurvePlant1;Parameter;ShootN_rgr;[1/d];0;NA;;;
GrowthCurvePlant1;Parameter;ShootN_Richards_f;[];0;NA;;;
GrowthCurvePlant1;Parameter;SowingDate;[];0;NA;Day of sowing;;
GrowthCurvePlant1;Parameter;TempSumEmerge;[°C*d];150;NA;Temperature sum for emergence, emerges when TSum >= TempSumEmerge;;
GrowthCurvePlant1;ExtVar;TMPM;;0;NA;;;
GrowthCurvePlant1;Variable;DM_Change;[g/m2];0;NA;;;
GrowthCurvePlant1;Variable;Height_Change;[m];0;NA;;;
GrowthCurvePlant1;Variable;LAI_Change;[-];0;NA;;;
GrowthCurvePlant1;Variable;ShootN_Change;[gN/m2];0;NA;;;
GrowthCurvePlant1;Option;ContOutput;NA;true;NA;Output every time step?;;
GrowthCurvePlant1;Option;DM_CurveType;NA;logistisch;NA;Curve type for growth rate calculation;;
GrowthCurvePlant1;Option;FinalOutput;NA;false;NA;Output of final values in separate file?;;
GrowthCurvePlant1;Option;Height_CurveType;NA;logistisch;NA;Curve type for growth rate calculation;;
GrowthCurvePlant1;Option;LAI_CurveType;NA;logistisch;NA;Curve type for growth rate calculation;;
GrowthCurvePlant1;Option;ShootN_CurveType;NA;logistisch;NA;Curve type for growth rate calculation;;
GrowthCurvePlant1;Option;WithRoots;NA;true;NA;Option to flag that root growth is calculated within the component;;
