SubModel;EntityType;EntityName;Units;Value;Option;Comment
HumeWheatLeafArea1;State;CUMPH;[-];0;NA;cumulative phyllochrons since emergence
HumeWheatLeafArea1;State;LAI;[m2/m2];0;NA;Leaf area index
HumeWheatLeafArea1;State;PARi1;[W/m2];0;NA;
HumeWheatLeafArea1;State;PARi2;[W/m2];0;NA;
HumeWheatLeafArea1;State;PARi3;[W/m2];0;NA;
HumeWheatLeafArea1;State;PARi4;[W/m2];0;NA;
HumeWheatLeafArea1;State;PLA;[cm2/plant];0;NA;Plant leaf area
HumeWheatLeafArea1;State;PLSC__1;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC__2;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC__3;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC__4;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC__5;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC__6;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC__7;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC__8;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC__9;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC_10;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC_11;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC_12;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC_13;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC_14;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC_15;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC_16;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC_17;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC_18;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC_19;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC_20;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC_21;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC_22;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC_23;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC_24;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;PLSC_25;[cm2/plant];0;NA;Leaf area of single leaves
HumeWheatLeafArea1;State;SENLA;[cm2/d];0;NA;Area of leaf that senesces from a tiller on a given day
HumeWheatLeafArea1;State;SUMDTT5;[degreedays];0;NA;cumulated temperature sum during ISTAGE 5 (grain filling)
HumeWheatLeafArea1;Parameter;aSLA;[cm2/g];136.69;NA;Intercept of function describing effect of shading on average specific leaf area
HumeWheatLeafArea1;Parameter;bSLA;[cm2/(g*LAI)];14.93;NA;Slope of function describing effect of shading on average specific leaf area
HumeWheatLeafArea1;Parameter;critSLNtot;[gN/m²];0.8;NA;critical SLN value for leaf senescense
HumeWheatLeafArea1;Parameter;f1_SLA;[-];-1.1237;NA;parameter for SLA calculation, change of 
HumeWheatLeafArea1;Parameter;f2_SLA;[-];0.3;NA;parameter for SLA calculation
HumeWheatLeafArea1;Parameter;fGAI;[-];0.2;NA;LAI->GAI (94er 2004)
HumeWheatLeafArea1;Parameter;Icrit;[MJ/(m2*d)];0.2;NA;critical radiation value for leaf area index
HumeWheatLeafArea1;Parameter;kTransPAR;[-];0.7;NA;PAR transmission coefficient
HumeWheatLeafArea1;Parameter;maxPLALR;%LAI_max;5;NA;maximum senescence rate
HumeWheatLeafArea1;Parameter;maxSLA;[cm2/g];250;NA;start values of SLA after emgergence
HumeWheatLeafArea1;Parameter;PSENLeaf1;[-];0.0003;NA;Parameter for leaf senescence
HumeWheatLeafArea1;Parameter;PSENLeaf2;[-];0.0006;NA;Parameter for leaf senescence
HumeWheatLeafArea1;Parameter;relLayerA_Int1;[-];0.2976;NA;
