IniFile;Submodel;EntityType;EntityName;Units;Value;Option;Comment
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;C_Residues;[gC/m2];0;NA;Amount of carbon in crop residues
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;CropHeight;[m];0;NA;Crop height
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;DMfineroot;[g.m-2];0;NA;Total fine root dry matter in crop
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;DMtotal;[g.m-2];0;NA;Total aboveground dry matter in crop
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;GRNWT_pl;[g/plant];0;NA;Grain dry weight per plant
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;LFWT_pl;[g/plant];0;NA;Leaf dry weight per plant
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;N_Residues;[gN/m2];0;NA;Amount of nitrogen in crop residues
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;NcLeafWinter;[%];4.51;NA;
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;NcStemWinter;[%];4.01;NA;
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;NGrain_pl;[g/plant];0;NA;Grain nitrogen amount per plant
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;NLeaf_pl;[g/plant];0;NA;Leaf nitrogen per plant
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;NRoot_pl;[g/plant/d];0;NA;Root nitrogen amount per plant
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;NSen_pl;[g/plant];0;NA;Senescing nitrogen per plant
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;NShoot_pl;[g/plant];0;NA;Nitrogen per plant
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;NStem_pl;[g/plant];0;NA;Stem nitrogen per plant
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;NStoragepool_pl;[g/plant];0;NA;Amount of nitrogen in storage pool per plant
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;NUptake;[kg/ha];0;NA;N uptake per hectare
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;potGrainN_pl;[g/Plant];0;NA;
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;RTWT_pl;[g/plant];0;NA;Root dry weight per plant
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;SEEDRV;[g/plant];0;NA;Seed reserve dry weight per plant
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;Senwt_pl;[g/plant];0;NA;Senescing dry weight per plant
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;STMWT_pl;[g];0;NA;Stem dry weight per plant
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;State;TempSum;[g/plant];0;NA;
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;ActNUptake_m2;[g/m2/d];0;NA;
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;actPlantNupTake_m2;[g/m2/d];0;NA;actual plant N uptake rate
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;Assiflow;[g/m2/d];0;NA;assimilate flow for DM partitioning
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;DaysEffGF;[d];0;NA;days from BBCH65 unitil LAI=0
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;DMTrans_pl;[g/plant];0;NA;
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;FFINEROOT;[-];0;NA;fraction assimilates allocated to fine root growth
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;fStem;[-];0;NA;stem fraction of shoot DM
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;GlobRadSum;[MJ];0;NA;sum of global radiation
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;GN_NRate;[g/plant];0;NA;linear N uptake after endosperm cell division phase
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;GPP;[grains/plant];0;NA;grains per plant
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;GPPVAR;[grains/plant];0;NA;estimation of grains per plant
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;GPSM;[k/m2];0;NA;grains per square meter
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;GRNWT_m2;[g/m2];0;NA;Grain dry weight per m2
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;GROGRN;[g/(plant*d)];0;NA;
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;GROLF;[g/plant/d];0;NA;growth rate of leaf dry matter
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;GROSTM;[g/(plant.d];0;NA;growth rate of stem dry matter
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;GRYD;[dt/ha];0;NA;grain yield in dt/ha
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;HI;[-];0;NA;Harvest index
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;KernelN;[kg/ha];0;NA;Nitrogen in kernels
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;kf_d;[-];1;NA;adjustment factor for leaf/stem partioning under drought
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;kf_n;[-];1;NA;adjustment factor for leaf/stem partioning under N limitation
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;LAIShoot;[m2/m2];0;NA;Leaf Area Index of the shoot, excluding ear area index
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;Leaf_Stem_WT_Ratio;[g/m2];0;NA;Ratio of Leaf and Stem dry weight
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;LFWT_m2;[g/m2];0;NA;Leaf dry weight per m2
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;maxNShoot_m2;[g/m2];0;NA;maximum shoot N
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;Nbal;[g/plant];0;NA;
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;Nc_optLeaf;[%];0;NA;optimum leaf N concentration
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;NcGrain;[%];0;NA;N concentration in grains
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;NcLAL__1;[%];0;NA;
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;NcLAL__2;[%];0;NA;
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;NcLAL__3;[%];0;NA;
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;NcLAL__4;[%];0;NA;
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;NcLeaf;[%];0;NA;N concentration in leaves
Q:\WHEAT\INI\Proj_HeatNewNames\95_06\HEAT_95_06_BehandlungN240.ini;HumeWheatPartitioning1;Variable;NcLeaf_ECLGE;;0;NA;leaf N concentration at the end of leaf growth
