SubModel;EntityType;EntityName;Units;Value;Option;Comment
LayeredSoil;Parameter;MaxDepth;[cm];200;NA;maximum depth of calculated profile
LayeredSoil;Parameter;Potenz_f;[];1;NA;factor for uneven layer depth distribution
LayeredSoil;Constant;Tiefe_0;[cm];0;NA;
LayeredSoil;Constant;Tiefe_1;[cm];0;NA;
LayeredSoil;Constant;Tiefe_2;[cm];0;NA;
LayeredSoil;Constant;Tiefe_3;[cm];0;NA;
LayeredSoil;Constant;Tiefe_4;[cm];0;NA;
LayeredSoil;Constant;Tiefe_5;[cm];0;NA;
LayeredSoil;Constant;Tiefe_6;[cm];0;NA;
LayeredSoil;Constant;Tiefe_7;[cm];0;NA;
LayeredSoil;Constant;Tiefe_8;[cm];0;NA;
LayeredSoil;Constant;Tiefe_9;[cm];0;NA;
LayeredSoil;Constant;Tiefe10;[cm];0;NA;
LayeredSoil;Constant;Tiefe11;[cm];0;NA;
LayeredSoil;Constant;Tiefe12;[cm];0;NA;
LayeredSoil;Constant;Tiefe13;[cm];0;NA;
LayeredSoil;Constant;Tiefe14;[cm];0;NA;
LayeredSoil;Constant;Tiefe15;[cm];0;NA;
LayeredSoil;Constant;Tiefe16;[cm];0;NA;
LayeredSoil;Constant;Tiefe17;[cm];0;NA;
LayeredSoil;Constant;Tiefe18;[cm];0;NA;
LayeredSoil;Constant;Tiefe19;[cm];0;NA;
LayeredSoil;Constant;Tiefe20;[cm];0;NA;
LayeredSoil;Constant;Tiefe21;[cm];0;NA;
LayeredSoil;Constant;Tiefe22;[cm];0;NA;
LayeredSoil;Option;ContOutput;NA;true;NA;Output every time step?
LayeredSoil;Option;FinalOutput;NA;false;NA;Output of final values in separate file?
LayeredSoil;Option;Texture_version;NA;ka;NA;Option for choosing different pedotransfer functions, RR="Rote Reihe", "KA"=addendum to KA5
