SubModel;EntityType;EntityName;Units;Value;Option;Comment
NUptake;State;SimValue;[m2/m2];0.01;NA;
NUptake;State;TSum;[°d];0;NA;
NUptake;Parameter;BaseTemp;[°C];0;NA;
NUptake;Parameter;Capacity;[-];100;NA;
NUptake;Parameter;gr;[-];0.015;NA;
NUptake;Parameter;HarvestDate;[d];34669;NA;
NUptake;Parameter;IniValue;[];0.01;NA;
NUptake;Parameter;rgr;[1/d];0.015;NA;
NUptake;Parameter;Richards_f;[-];1.5;NA;
NUptake;Parameter;SowingDate;[d];34335;NA;
NUptake;ExtVar;Temp;;0;NA;
NUptake;Option;ContOutput;NA;true;NA;Output every time step?
NUptake;Option;CurveType;NA;logistisch;NA;
NUptake;Option;FinalOutput;NA;false;NA;Output of final values in separate file?
