IniFile;Submodel;EntityType;EntityName;Units;Value;Option;Comment
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;DevelopmentOSR1;State;Blattanzahl;[n];0;NA;Number of leaves
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;DevelopmentOSR1;State;DVS;[-];0;NA;Continuous development stage
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;DevelopmentOSR1;State;Fv;[-];0;NA;Accumulated vernalisation factor
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;DevelopmentOSR1;State;NumExtInternodes;[n];0;NA;Number of extended internodes (BBCH stages 30 to 39)
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;DevelopmentOSR1;State;TS;[-];0;NA;Accumulated effective temperature sum
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;DevelopmentOSR1;State;TS11;[-];0;NA;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;DevelopmentOSR1;Variable;BBCH;[-];0;NA;Phenological stage on the BBCH scale
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;DevelopmentOSR1;Variable;BBCH30;[-];0;NA;Variable for estimating DVS30
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;DevelopmentOSR1;Variable;BBCH50;[-];0;NA;Variable for estimating DVSInflor
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;DevelopmentOSR1;Variable;DOY51;[-];0;NA;DOY of flowering start
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;DevelopmentOSR1;Variable;DOY90;[-];0;NA;DOY of full ripening stage
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;DevelopmentOSR1;Variable;DVR1;[-];0;NA;Development rate from sowing to emergence
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;DevelopmentOSR1;Variable;DVR2;[-];0;NA;Development rate from emergence to end of vegetative growth
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;DevelopmentOSR1;Variable;DVR2a;[-];0;NA;Development rate from emergence to end of vegetative growth (alternative calculation)
