IniFile;Submodel;EntityType;EntityName;Units;Value;Option;Comment;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;C_Dead;kg/ha;0;NA;C-Menge der abgeworfenen Blätter;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;C_Residues;[gC/m2];0;NA;Amount of carbon in crop residues;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DauerEC81_89;;0;NA;;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DM_N;g/m²;0;NA;ehemalige lebendige (grüne) Trockenmasse, der durch N-Mangel abgestorbenen Blätter;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMdead;g/m²;0;NA;senescent dry matter;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMDeadAge;g/m²;0;NA;Altersseneszenz nach EC80;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMDeadLeafW;g/m²;0;NA;durch Frostseneszenz abgestorbene Blatttrockenmasse;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMDeadN;g/m²;0;NA;leaf dry matter killed by N deficiency;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMDeadRootW;g/m²;0;NA;über Winter abgestorbene Wurzeltrockenmasse;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMDeadSh;g/m²;0;NA;leaf dry matter killed by shading senescence;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMDeadStemW;g/m²;0;NA;durch Frostseneszenz abgestorbene Stängeltrockenmasse;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMDeadW;g/m²;0;NA;dry matter killed by frost senescence;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMfineroot;[g.m-2];0;NA;Total fine root dry matter in crop;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMGen;g/m²;0;NA;generative-organ dry matter;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMLeaf;g/m²;0;NA;leaf dry matter;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMNTrans;g/m²;0;NA;translozierte Blatttrockenmasse aus N-Mangel;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMPlant;g/m²;0.1;NA;total plant dry matter;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMPodWall;g/m²;0;NA;pod-wall dry matter;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMRoot;g/m²;0;NA;root dry matter;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMSeed;g/m²;0;NA;seed dry matter;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMSeedOil;g/m²;0;NA;Trockenmasse des Ölanteils im Samen;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMSeedStarch;g/m²;0;NA;Trockenmasse des Stärkeanteils im Samen;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMSh;g/m²;0;NA;potential leaf dry matter killed and translocated through shading senescence;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMShoot;g/m²;0.1;NA;shoot dry matter;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMShoot_nB;g/m²;0;NA;Sprosstrockenmasse nach der Blüte;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMShoot_nB_pot;g/m²;0;NA;potentielle Sprosstrockenmasse nach der Blüte;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMShoot_OF;g/m²;0;NA;Sprosstrockenmasse zum Onset of Flowering;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMShoot_vW;g/m²;0.1;NA;Sprosstrockenmasse vor Winter;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMShTrans;g/m²;0;NA;leaf dry matter translocated to pods through shading senescence;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMStem;g/m²;0;NA;stem dry matter;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMtotal;[g.m-2];0;NA;Total aboveground dry matter in crop;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMTrans;g/m²;0;NA;translozierte Trockenmasse;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMTransLeaf;g/m²;0;NA;translozierte Blatt-Trockenmasse;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;DMTransStem;g/m²;0;NA;translozierte Stängel-Trockenmasse;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;FullFlower;;0;NA;Datum EC65;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;LAIGen;m²/m²;0;NA;PodAreaIndex;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;LAILeaf;m²/m²;0;NA;leaf area;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;LAIs;m²/m²;0;NA;area senesced through shading;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;LAIShoot;m²/m²;0;NA;shoot area;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;LAIStem;m²/m²;0;NA;stem area;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;N_Dead;kg/ha;0;NA;N-Menge der abgeworfenen Blätter;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;N_Residues;[gN/m2];0;NA;Amount of nitrogen in crop residues;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;NBalance;[g/m²];0;NA;;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;NDead;g/m²;0;NA;N amount in dead leaves [g/m²];
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;NDeadAge;g/m²;0;NA;Altersseneszenz nach EC80;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;NDeadSh;g/m²;0;NA;durch Beschattungsseneszenz verlorene N-Menge;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;NDeadW;g/m²;0;NA;durch Frostseneszenz verlorene N-Menge;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;NGen;g/m²;0;NA;generative N-Menge;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;NLeaf;g/m²;0;NA;leaf N amount;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;NPlant;g/m²;0;NA;N-Menge in Gesamtpflanze [g/m²];
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;NPodWall;g/m²;0;NA;N-Menge in Schotenwänden [g/m²];
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;NPool;g/m²;0;NA;N-Pool in Stängel und Wurzeln für die aus den Blättern translozierte N-Menge bevor die generativen Organe als Senken zur Verügung stehen;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;NRoot;g/m²;0;NA;Wurzel-N-Menge;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;NSeed;g/m²;0;NA;N-Menge im Samen [g/m²];
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;NShoot;g/m²;0;NA;shoot N amount;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;NStem;g/m²;0;NA;Stängel-N-Menge;
Q:\OSR\INI\ModelLowN\ini\IniFiles\Rosenthal_Patron_150_2002.ini;OSRGrowth;State;NTrans;g/m²;0;NA;translozierbare Gesamt-N-Menge;
