SubModel;EntityType;EntityName;Units;Value;Option;Comment
PenMonteith1;State;int_stor;[mm];0;NA;intercepted water on canopy
PenMonteith1;Parameter;CiThreshold;[ppm];380;NA;threshold for CO2 impact on rc0
PenMonteith1;Parameter;Elev;[m];50;NA;Höhe über NN [m]
PenMonteith1;Parameter;exk_GlobRad;[-];0.5;NA;extiction coefficient for global radiation
PenMonteith1;Parameter;measure_height;[m];2;NA;Measurement height [m]
PenMonteith1;Parameter;rc0;[s.m-1];50;NA;Stomatawiderstand bei "guter Wasserversorgung"
PenMonteith1;Parameter;relRc0Inc_CO2;[(s.m-1)/ppm];0.3878;NA;mediates the relative CO2 impact on rc0 estimated from: Elevated CO2 effects on canopy and soil water flux parameters... Burkart et al. 2010
PenMonteith1;Parameter;SIC;[mm.m-2.m-2];0.15;NA;specific interception capacity
PenMonteith1;ExtVar;CropHeight;;0;NA;crop height
PenMonteith1;ExtVar;CO2pp;;0;NA;external CO2 concentration
PenMonteith1;ExtVar;Rad_Int;;0;NA;gobal radiation in [W.m-2]
PenMonteith1;ExtVar;LAI;;0;NA;leaf area index
PenMonteith1;ExtVar;rain;;0;NA;rainfall rate
PenMonteith1;ExtVar;Sat_def;;0;NA;Sättigungsdefizit [hPa]
PenMonteith1;ExtVar;TMPM;;0;NA;average daily temperature
PenMonteith1;ExtVar;Wind;;0;NA;wind speed
PenMonteith1;Variable;CO2pp;[ppm];400;NA;external CO2 concentration
PenMonteith1;Variable;CO2TransDiff;[mm/d];0;NA;CO2 induced reduction of pot_trans
PenMonteith1;Variable;ET0;[];0;NA;reference evapotranspiration short grass (FAO)
PenMonteith1;Variable;interception;[mm/d];0;NA;daily interception rate
PenMonteith1;Variable;k_GlobRad;[-];0;NA;actual extinction coefficient for global radiation, can be from parameter or from external crop model
PenMonteith1;Variable;NetRad;[W.m-2];0;NA;net radiation
PenMonteith1;Variable;NetRain;[mm/d];0;NA;rain - interception
PenMonteith1;Variable;P;[mbar];0;NA;air pressure
PenMonteith1;Variable;pETP;[];0;NA;potential evporation
PenMonteith1;Variable;pETP_ambient;[];0;NA;potential evapotranspiration ohne CO2 Einfluss
PenMonteith1;Variable;pot_Evapo_ambient;[mm/d];0;NA;
PenMonteith1;Variable;PotEvap;[mm/d];0;NA;potential soil evaporation rate
PenMonteith1;Variable;PotTrans;[mm/d];0;NA;potential plant transpiration
PenMonteith1;Variable;potTrans_ambient;[mm/d];0;NA;potential transpiration under ambient CO2
PenMonteith1;Variable;ra;[s/m];0;NA;aerodynamic resistance
PenMonteith1;Variable;rc;[s/m];0;NA;canopy resistance
PenMonteith1;Variable;rc_ambient;[s/m];0;NA;canopy resistance under abient CO2
PenMonteith1;Variable;rc0_ambient;[s.m-1];0;NA;rc0 value without CO2 effect
PenMonteith1;Variable;rc0_Var;[s.m-1];0;NA;rc0 value as used for calculation (from parameter or plant model)
PenMonteith1;Variable;relCO2TransDiff;[-];0;NA;rel. CO2 induced reduction of pot_trans
PenMonteith1;Variable;VapPress;[mbar];0;NA;saturated vapour pressure
PenMonteith1;Option;ContOutput;NA;true;NA;Output every time step?
PenMonteith1;Option;FinalOutput;NA;false;NA;Output of final values in separate file?
PenMonteith1;Option;optCO2;NA;noco2effect;NA;Option for including effects of elevated CO2 in calculations
PenMonteith1;Option;optExCO2;NA;externalco2;NA;Option for using external supplied CO2 concentration in calculations
PenMonteith1;Option;ra_Option;NA;penmanmonteith;NA;Option for ra(u, CropHeight)-function
