SubModel;EntityType;EntityName;Units;Value;Option;Comment
SimpleRootModDM;State;TempSumR;[°C*d];0;NA;temperature sum effective for rooting
SimpleRootModDM;State;zr;[cm];0;NA;rooting depth
SimpleRootModDM;Parameter;ActiveDuration;[d];200;NA;active uptake period of roots, determines effective root length and density
SimpleRootModDM;Parameter;BaseTempRoots;[°C];0;NA;
SimpleRootModDM;Parameter;K_za;[cm.cm-1.°C*d-1];0.00394;NA;relative rooting depth increase during exponential phase (if applies)
SimpleRootModDM;Parameter;K_zb;[cm.°C*d-1];0.107;NA;rooting depth increase during linear phase (if applies)
SimpleRootModDM;Parameter;Ratio;[-];0.01731;NA;root length density disribution factor
SimpleRootModDM;Parameter;sp_WL;[cm.gDM-1];7000;NA;specific root length
SimpleRootModDM;Parameter;zr_0;[cm];2;NA;rooting depth at simulation start
SimpleRootModDM;Parameter;Zrmax;[-];160;NA;maximum rooting depth
SimpleRootModDM;ExtVar;DMFineRoot;;0;NA;daily increase in fine root mass
SimpleRootModDM;ExtVar;DMFineRoot;;0;NA;fine root mass
SimpleRootModDM;ExtVar;EmergenceDay;;0;NA;day of emergence taken from potato growth module
SimpleRootModDM;ExtVar;Tiefe_0;;0;NA;
SimpleRootModDM;ExtVar;Tiefe_1;;0;NA;
SimpleRootModDM;ExtVar;Tiefe_2;;0;NA;
SimpleRootModDM;ExtVar;Tiefe_3;;0;NA;
SimpleRootModDM;ExtVar;Tiefe_4;;0;NA;
SimpleRootModDM;ExtVar;Tiefe_5;;0;NA;
SimpleRootModDM;ExtVar;Tiefe_6;;0;NA;
SimpleRootModDM;ExtVar;Tiefe_7;;0;NA;
SimpleRootModDM;ExtVar;Tiefe_8;;0;NA;
SimpleRootModDM;ExtVar;Tiefe_9;;0;NA;
SimpleRootModDM;ExtVar;Tiefe10;;0;NA;
SimpleRootModDM;ExtVar;Tiefe11;;0;NA;
SimpleRootModDM;ExtVar;Tiefe12;;0;NA;
SimpleRootModDM;ExtVar;Tiefe13;;0;NA;
SimpleRootModDM;ExtVar;Tiefe14;;0;NA;
SimpleRootModDM;ExtVar;Tiefe15;;0;NA;
SimpleRootModDM;ExtVar;Tiefe16;;0;NA;
SimpleRootModDM;ExtVar;Tiefe17;;0;NA;
SimpleRootModDM;ExtVar;Tiefe18;;0;NA;
SimpleRootModDM;ExtVar;Tiefe19;;0;NA;
SimpleRootModDM;ExtVar;Tiefe20;;0;NA;
SimpleRootModDM;ExtVar;Temp;;0;NA;daily average air temperature
SimpleRootModDM;Variable;effWL__1;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWL__2;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWL__3;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWL__4;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWL__5;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWL__6;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWL__7;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWL__8;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWL__9;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWL_10;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWL_11;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWL_12;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWL_13;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWL_14;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWL_15;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWL_16;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWL_17;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWL_18;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWL_19;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWL_20;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWLD__1;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWLD__2;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWLD__3;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWLD__4;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWLD__5;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWLD__6;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWLD__7;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWLD__8;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWLD__9;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWLD_0_30;[cm.cm-3];0;NA;Effective root length density for 0-30 cm depth
SimpleRootModDM;Variable;effWLD_10;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWLD_11;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWLD_12;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWLD_120_150;[cm.cm-3];0;NA;Effective root length density for 120-150 cm depth
SimpleRootModDM;Variable;effWLD_13;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWLD_14;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWLD_15;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWLD_16;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWLD_17;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWLD_18;[cm.cm-3];0;NA;
SimpleRootModDM;Variable;effWLD_19;[cm.cm-3];0;NA;
