SubModel;EntityType;EntityName;Units;Value;Option;Comment
SnowPack;State;SnowAge;;0;NA;
SnowPack;State;SsS;;0;NA;
SnowPack;State;SwS;;0;NA;
SnowPack;Parameter;alpha_h;[Wm4kg-2];2.86E-6;NA;Thermal conductivity parameter for snow
SnowPack;Parameter;f;[-];1;NA;
SnowPack;Parameter;fc;[-];0.07;NA;
SnowPack;Parameter;Lm;[-];334000;NA;
SnowPack;Parameter;m1;[kg/J];2;NA;
SnowPack;Parameter;m2;[1/days];0.1;NA;
SnowPack;Parameter;mf;[m-1];10;NA;
SnowPack;Parameter;mrp;[kg*J-1];1.5E-7;NA;
SnowPack;Parameter;mtp;[kg*m-2*day-1*°C];2;NA;
SnowPack;Parameter;rhos;[kg*m-3];100;NA;
SnowPack;Parameter;rhow;[kg*m-3];1000;NA;
SnowPack;Parameter;t1;[°C];-2;NA;
SnowPack;Parameter;t2;[°C];2;NA;
SnowPack;Parameter;z1;[m];0.05;NA;
SnowPack;ExtVar;TMPM;;0;NA;
SnowPack;ExtVar;potEvap;;0;NA;
SnowPack;ExtVar;GlobRad;;0;NA;
SnowPack;ExtVar;Lambda_1;;0;NA;
SnowPack;ExtVar;rainfall_mm;;0;NA;
SnowPack;ExtVar;SoilTemp__1;;0;NA;
SnowPack;Variable;Es;;0;NA;
SnowPack;Variable;EsS;;0;NA;
SnowPack;Variable;Evap_pot;[mm];0;NA;
SnowPack;Variable;Js;;0;NA;
SnowPack;Variable;Ks;;0;NA;
SnowPack;Variable;M;;0;NA;
SnowPack;Variable;maxM;;0;NA;
SnowPack;Variable;minM;;0;NA;
SnowPack;Variable;Mpot;;0;NA;
SnowPack;Variable;mr;;0;NA;
SnowPack;Variable;mt;;0;NA;
SnowPack;Variable;P;;0;NA;
SnowPack;Variable;Percolation;[mm];0;NA;
SnowPack;Variable;Pr;;0;NA;
SnowPack;Variable;Ps;;0;NA;
SnowPack;Variable;qh;;0;NA;
SnowPack;Variable;rhop;;0;NA;
SnowPack;Variable;ScS;;0;NA;
SnowPack;Variable;Si;;0;NA;
SnowPack;Variable;Tact;;0;NA;
SnowPack;Variable;Tsf;;0;NA;
SnowPack;Variable;Zs;;0;NA;
SnowPack;Option;ContOutput;NA;true;NA;Output every time step?
SnowPack;Option;FinalOutput;NA;false;NA;Output of final values in separate file?
