SubModel;EntityType;EntityName;Units;Value;Option;Comment
SoilWaterMod2;State;CumDrainage;[mm];0;NA;cumulative water loss at layer xx
SoilWaterMod2;State;CumEvap;[mm];0;NA;Cumulative evaporation
SoilWaterMod2;State;CumGlobalWaterBalance;[mm];0;NA;
SoilWaterMod2;State;CumNetRain;[mm];0;NA;cumulative rain minus interception
SoilWaterMod2;State;CumRunoff;[mm];0;NA;calculated survace run off
SoilWaterMod2;State;CumTrans;[mm];0;NA;cumulative transpiration
SoilWaterMod2;State;CumWaterBalance;[mm];0;NA;water balance calculated from total soil profile changes [mm]
SoilWaterMod2;State;PondedWater;[mm];0;NA;Amount of ponded water on soil surface
SoilWaterMod2;State;WMenge_1;[cm];0;NA;Water amount per layer [cm]
SoilWaterMod2;State;WMenge_2;[cm];0;NA;Water amount per layer [cm]
SoilWaterMod2;State;WMenge_3;[cm];0;NA;Water amount per layer [cm]
SoilWaterMod2;State;WMenge_4;[cm];0;NA;Water amount per layer [cm]
SoilWaterMod2;State;WMenge_5;[cm];0;NA;Water amount per layer [cm]
SoilWaterMod2;State;WMenge_6;[cm];0;NA;Water amount per layer [cm]
SoilWaterMod2;State;WMenge_7;[cm];0;NA;Water amount per layer [cm]
SoilWaterMod2;State;WMenge_8;[cm];0;NA;Water amount per layer [cm]
SoilWaterMod2;State;WMenge_9;[cm];0;NA;Water amount per layer [cm]
SoilWaterMod2;State;WMenge10;[cm];0;NA;Water amount per layer [cm]
SoilWaterMod2;State;WMenge11;[cm];0;NA;Water amount per layer [cm]
SoilWaterMod2;State;WMenge12;[cm];0;NA;Water amount per layer [cm]
SoilWaterMod2;State;WMenge13;[cm];0;NA;Water amount per layer [cm]
SoilWaterMod2;State;WMenge14;[cm];0;NA;Water amount per layer [cm]
SoilWaterMod2;State;WMenge15;[cm];0;NA;Water amount per layer [cm]
SoilWaterMod2;State;WMenge16;[cm];0;NA;Water amount per layer [cm]
SoilWaterMod2;State;WMenge17;[cm];0;NA;Water amount per layer [cm]
