SubModel;EntityType;EntityName;Units;Value;Option;Comment
TotalDrymatter;State;SimValue;[m2/m2];0.01;NA;
TotalDrymatter;State;TSum;[°d];0;NA;
TotalDrymatter;Parameter;BaseTemp;[°C];0;NA;
TotalDrymatter;Parameter;Capacity;[-];100;NA;
TotalDrymatter;Parameter;gr;[-];0.015;NA;
TotalDrymatter;Parameter;HarvestDate;[d];34669;NA;
TotalDrymatter;Parameter;IniValue;[];0.01;NA;
TotalDrymatter;Parameter;rgr;[1/d];0.015;NA;
TotalDrymatter;Parameter;Richards_f;[-];1.5;NA;
TotalDrymatter;Parameter;SowingDate;[d];34335;NA;
TotalDrymatter;ExtVar;Temp;;0;NA;
TotalDrymatter;Option;ContOutput;NA;true;NA;Output every time step?
TotalDrymatter;Option;CurveType;NA;logistisch;NA;
TotalDrymatter;Option;FinalOutput;NA;false;NA;Output of final values in separate file?
