SubModel;EntityType;EntityName;Units;Value;Option;Comment
Dueng_ISIP1;Parameter;fNEff;[-];0.7;NA;fraction of not immobilised nitrogen
Dueng_ISIP1;Parameter;fSensPar;[-];1;NA;
Dueng_ISIP1;Parameter;STDNApp1;[kg/ha];60;NA;
Dueng_ISIP1;Parameter;STDNApp2;[kg/ha];70;NA;
Dueng_ISIP1;Parameter;STDNApp3;[kg/ha];70;NA;
Dueng_ISIP1;ExtVar;dayofyear;;0;NA;
Dueng_ISIP1;ExtVar;EC;;0;NA;
Dueng_ISIP1;ExtVar;Nmin_1;;0;NA;
Dueng_ISIP1;ExtVar;Nmin0_90;;0;NA;
Dueng_ISIP1;ExtVar;NUpTake;;0;NA;
Dueng_ISIP1;Variable;appliedN;[KgN/ha];0;NA;
Dueng_ISIP1;Variable;NApp1;[KgN/ha];0;NA;N application
Dueng_ISIP1;Variable;NApp2;[KgN/ha];0;NA;N application
Dueng_ISIP1;Variable;NApp3;[KgN/ha];0;NA;N application
Dueng_ISIP1;Variable;NApp4;[KgN/ha];0;NA;N application
Dueng_ISIP1;Variable;NApp5;[KgN/ha];0;NA;N application
Dueng_ISIP1;Variable;NminVB;[KgN/ha];30;NA;
Dueng_ISIP1;Variable;Sollwert;[KgN/ha];230;NA;
Dueng_ISIP1;Option;ContOutput;NA;true;NA;Output every time step?
Dueng_ISIP1;Option;FinalOutput;NA;false;NA;Output of final values in separate file?
